pos;name;pais1;pais2;num;edad;team_name
Portero;Nordin Jackers;Bélgica;;29;05/09/1997;fc_brugge
Portero;Simon Mignolet;Bélgica;;22;06/03/1988;fc_brugge
Portero;Dani van den Heuvel;Países Bajos;;16;28/05/2003;fc_brugge
Portero;Axl De Corte;Bélgica;;71;24/03/2006;fc_brugge
Defensa central;Joel Ordóñez;Ecuador;;4;21/04/2004;fc_brugge
Defensa central;Brandon Mechele;Bélgica;;44;28/01/1993;fc_brugge
Defensa central;Jorne Spileers;Bélgica;;58;21/01/2005;fc_brugge
Defensa central;Vince Osuji;Nigeria;;24;06/04/2006;fc_brugge
Lateral izquierdo;Joaquin Seys;Bélgica;;65;28/03/2005;fc_brugge
Lateral izquierdo;Bjorn Meijer;Países Bajos;;14;18/03/2003;fc_brugge
Lateral derecho;Kyriani Sabbe;Bélgica;;64;26/01/2005;fc_brugge
Lateral derecho;Hugo Siquet;Bélgica;;41;09/07/2002;fc_brugge
Pivote;Aleksandar Stanković;Serbia;Italia;25;03/08/2005;fc_brugge
Pivote;Raphael Onyedika;Nigeria;;15;19/04/2001;fc_brugge
Pivote;Lynnt Audoor;Bélgica;;62;13/10/2003;fc_brugge
Mediocentro;Ludovit Reis;Países Bajos;Eslovaquia;6;01/06/2000;fc_brugge
Mediocentro;Hugo Vetlesen;Noruega;;10;29/02/2000;fc_brugge
Mediocentro;Alejandro Granados;España;Estados Unidos;70;30/05/2006;fc_brugge
Mediocentro ofensivo;Félix Lemaréchal;Francia;Costa de Marfil;80;07/08/2003;fc_brugge
Mediocentro ofensivo;Hans Vanaken;Bélgica;;20;24/08/1992;fc_brugge
Mediocentro ofensivo;Cisse Sandra;Bélgica;;11;16/12/2003;fc_brugge
Extremo izquierdo;Christos Tzolis;Grecia;;8;30/01/2002;fc_brugge
Extremo izquierdo;Carlos Forbs;Portugal;Guinea-Bissau;9;19/03/2004;fc_brugge
Extremo izquierdo;Mamadou Diakhon;Senegal;Francia;67;22/09/2005;fc_brugge
Extremo izquierdo;Shandre Campbell;Sudáfrica;;84;15/07/2005;fc_brugge
Delantero centro;Nicolò Tresoldi;Alemania;Italia;7;20/08/2004;fc_brugge
Delantero centro;Romeo Vermant;Bélgica;;17;24/01/2004;fc_brugge
Delantero centro;Gustaf Nilsson;Suecia;;19;23/05/1997;fc_brugge
Portero;Tobias Lawal;Austria;;26;07/06/2000;krc_genk
Portero;Hendrik Van Crombrugge;Bélgica;;1;30/04/1993;krc_genk
Portero;Lucca Brughmans;Bélgica;;28;27/06/2008;krc_genk
Portero;Emile Doucouré;Malí;Bélgica;97;28/09/2007;krc_genk
Portero;Brent Stevens;Bélgica;;71;11/08/2003;krc_genk
Defensa central;Matte Smets;Bélgica;;6;04/01/2004;krc_genk
Defensa central;Mujaid Sadick;España;Nigeria;3;14/03/2000;krc_genk
Defensa central;Josué Kongolo;Bélgica;RD del Congo;44;13/04/2006;krc_genk
Defensa central;Adrián Palacios;Venezuela;Colombia;34;07/06/2004;krc_genk
Lateral izquierdo;Yaimar Medina;Ecuador;;19;05/11/2004;krc_genk
Lateral izquierdo;Joris Kayembe;RD del Congo;Bélgica;18;08/08/1994;krc_genk
Lateral derecho;Zakaria El Ouahdi;Marruecos;Bélgica;77;31/12/2001;krc_genk
Lateral derecho;Ken Nkuba;Bélgica;RD del Congo;27;21/01/2002;krc_genk
Pivote;Ibrahima Sory Bangoura;Guinea;;21;05/01/2004;krc_genk
Pivote;Nikolas Sattlberger;Austria;;24;18/01/2004;krc_genk
Mediocentro;Bryan Heynen;Bélgica;;8;06/02/1997;krc_genk
Mediocentro;August De Wannemacker;Bélgica;;56;25/12/2008;krc_genk
Mediocentro ofensivo;Konstantinos Karetsas;Grecia;Bélgica;20;19/11/2007;krc_genk
Mediocentro ofensivo;Daan Heymans;Bélgica;;38;15/06/1999;krc_genk
Extremo izquierdo;Noah Adedeji-Sternberg;Bélgica;Alemania;32;19/06/2005;krc_genk
Extremo izquierdo;Yira Sor;Nigeria;;14;24/07/2000;krc_genk
Extremo izquierdo;Ayumu Yokoyama;Japón;;30;04/03/2003;krc_genk
Extremo derecho;Jarne Steuckers;Bélgica;;7;04/02/2002;krc_genk
Extremo derecho;Junya Ito;Japón;;10;09/03/1993;krc_genk
Delantero centro;Robin Mirisola;Bélgica;;29;08/12/2006;krc_genk
Delantero centro;Jusef Erabi;Suecia;Afganistán;99;08/06/2003;krc_genk
Delantero centro;Aaron Bibout;Camerún;;23;09/09/2004;krc_genk
Portero;Kjell Scherpen;Países Bajos;;37;23/01/2000;royale_union_saint_gilloise
Portero;Vic Chambaere;Bélgica;;1;10/01/2003;royale_union_saint_gilloise
Portero;Giorgi Kavlashvili;Georgia;Bélgica;18;24/01/2007;royale_union_saint_gilloise
Portero;Jens Teunckens;Bélgica;;21;30/01/1998;royale_union_saint_gilloise
Defensa central;Kevin Mac Allister;Argentina;Italia;5;07/11/1997;royale_union_saint_gilloise
Defensa central;Fedde Leysen;Bélgica;;48;09/07/2003;royale_union_saint_gilloise
Defensa central;Ross Sykes;Inglaterra;;26;26/03/1999;royale_union_saint_gilloise
Defensa central;Christian Burgess;Inglaterra;;16;07/10/1991;royale_union_saint_gilloise
Defensa central;Mamadou Thierno Barry;Senegal;;3;20/03/2005;royale_union_saint_gilloise
Defensa central;Massiré Sylla;Senegal;;29;07/01/2005;royale_union_saint_gilloise
Lateral derecho;Louis Patris;Bélgica;;27;07/06/2001;royale_union_saint_gilloise
Lateral derecho;Guillaume François;Bélgica;;19;03/06/1990;royale_union_saint_gilloise
Mediocentro;Adem Zorgane;Argelia;;8;06/01/2000;royale_union_saint_gilloise
Mediocentro;Kamiel Van De Perre;Bélgica;;6;12/02/2004;royale_union_saint_gilloise
Mediocentro;Besfort Zeneli;Suecia;Kosovo;23;21/11/2002;royale_union_saint_gilloise
Mediocentro;Rob Schoofs;Bélgica;;17;23/03/1994;royale_union_saint_gilloise
Mediocentro;Ivan Pavlic;Bélgica;Países Bajos;14;10/11/2001;royale_union_saint_gilloise
Interior derecho;Anan Khalaili;Israel;;25;03/09/2004;royale_union_saint_gilloise
Interior izquierdo;Ousseynou Niang;Senegal;;22;12/10/2001;royale_union_saint_gilloise
Mediocentro ofensivo;Anouar Ait El Hadj;Bélgica;Marruecos;10;20/04/2002;royale_union_saint_gilloise
Extremo izquierdo;Guilherme Smith;Brasil;;11;11/06/2003;royale_union_saint_gilloise
Delantero centro;Promise David;Canadá;Nigeria;12;03/07/2001;royale_union_saint_gilloise
Delantero centro;Raul Florucz;Austria;;30;10/06/2001;royale_union_saint_gilloise
Delantero centro;Kevin Rodríguez;Ecuador;;13;04/03/2000;royale_union_saint_gilloise
Delantero centro;Mohammed Fuseini;Ghana;;7;16/05/2002;royale_union_saint_gilloise
Delantero centro;Marc Giger;Suiza;Camerún;20;27/03/2004;royale_union_saint_gilloise
Delantero centro;Mateo Biondic;Alemania;Croacia;9;24/07/2003;royale_union_saint_gilloise
Portero;Colin Coosemans;Bélgica;;26;03/08/1992;rsc_anderlecht
Portero;Justin Heekeren;Alemania;;32;27/11/2000;rsc_anderlecht
Portero;Joachim Imbrechts;Suecia;Bélgica;73;09/10/2001;rsc_anderlecht
Defensa central;Lucas Hey;Dinamarca;;3;13/04/2003;rsc_anderlecht
Defensa central;Marco Kana;Bélgica;RD del Congo;55;08/08/2002;rsc_anderlecht
Defensa central;Mihajlo Ilić;Serbia;;15;04/06/2003;rsc_anderlecht
Defensa central;Moussa Diarra;Malí;Francia;93;10/11/2000;rsc_anderlecht
Defensa central;Mathys Angély;Francia;Martinica;4;21/04/2007;rsc_anderlecht
Lateral izquierdo;Ludwig Augustinsson;Suecia;;6;21/04/1994;rsc_anderlecht
Lateral derecho;Ilay Camara;Senegal;Bélgica;7;18/01/2003;rsc_anderlecht
Lateral derecho;Killian Sardella;Bélgica;Camerún;54;02/05/2002;rsc_anderlecht
Lateral derecho;Ali Maamar;Marruecos;Bélgica;79;23/03/2005;rsc_anderlecht
Lateral derecho;Thomas Foket;Bélgica;;25;25/09/1994;rsc_anderlecht
Pivote;Enric Llansana;Países Bajos;España;24;12/04/2001;rsc_anderlecht
Pivote;Mats Rits;Bélgica;;23;18/07/1993;rsc_anderlecht
Mediocentro;Nathan De Cat;Bélgica;;74;19/07/2008;rsc_anderlecht
Mediocentro;Nathan-Dylan Saliba;Canadá;Haití;13;07/02/2004;rsc_anderlecht
Mediocentro;Anas Tajaouart;Marruecos;Bélgica;78;07/09/2005;rsc_anderlecht
Mediocentro ofensivo;Mario Stroeykens;RD del Congo;Bélgica;29;29/09/2004;rsc_anderlecht
Mediocentro ofensivo;Yari Verschaeren;Bélgica;;10;12/07/2001;rsc_anderlecht
Mediocentro ofensivo;Thorgan Hazard;Bélgica;;11;29/03/1993;rsc_anderlecht
Mediocentro ofensivo;Alexis Flips;Francia;;70;18/01/2000;rsc_anderlecht
Extremo izquierdo;César Huerta;México;;21;03/12/2000;rsc_anderlecht
Extremo izquierdo;Coba da Costa;Guinea-Bissau;España;77;26/07/2002;rsc_anderlecht
Extremo izquierdo;Ibrahim Kanaté;Malí;;99;23/10/2006;rsc_anderlecht
Extremo derecho;Tristan Degreef;Bélgica;;83;19/01/2005;rsc_anderlecht
Delantero centro;Mihajlo Cvetkovic;Serbia;;9;10/01/2007;rsc_anderlecht
Delantero centro;Danylo Sikan;Ucrania;;14;16/04/2001;rsc_anderlecht
Delantero centro;Adriano Bertaccini;Bélgica;Italia;91;13/08/2000;rsc_anderlecht
Delantero centro;Elyèss Dao;Marruecos;Francia;22;20/11/2006;rsc_anderlecht
Portero;Davy Roef;Bélgica;;33;06/02/1994;kaa_gent
Portero;Kjell Peersman;Bélgica;;30;21/05/2004;kaa_gent
Portero;Tom Vandenberghe;Bélgica;;23;17/08/1992;kaa_gent
Portero;Bas Evers;Bélgica;;31;02/12/2008;kaa_gent
Defensa central;Maksim Paskotsi;Estonia;;3;19/01/2003;kaa_gent
Defensa central;Siebe Van der Heyden;Bélgica;;44;30/05/1998;kaa_gent
Defensa central;Jean-Kévin Duverne;Haití;Francia;29;12/07/1997;kaa_gent
Defensa central;Matties Volckaert;Bélgica;;57;12/10/2002;kaa_gent
Defensa central;Hatim Es-Saoubi;Marruecos;;25;13/12/2000;kaa_gent
Lateral izquierdo;Tiago Araújo;Portugal;;20;27/03/2001;kaa_gent
Lateral izquierdo;Abdoul Ayinde;Burkina Faso;;39;17/07/2005;kaa_gent
Lateral derecho;Daiki Hashioka;Japón;;4;17/05/1999;kaa_gent
Lateral derecho;Gilles De Meyer;Bélgica;;35;17/09/2006;kaa_gent
Pivote;Mohammed El Âdfaoui;Bélgica;Marruecos;28;28/02/2008;kaa_gent
Pivote;Wout Asselman;Bélgica;;62;20/01/2005;kaa_gent
Mediocentro;Mathias Delorge;Bélgica;;17;31/07/2004;kaa_gent
Mediocentro;Atsuki Ito;Japón;;15;11/08/1998;kaa_gent
Mediocentro;Leonardo Lopes;Portugal;Cabo Verde;22;30/11/1998;kaa_gent
Interior derecho;Matisse Samoise;Bélgica;;18;21/11/2001;kaa_gent
Mediocentro ofensivo;Hyun-seok Hong;Corea del Sur;;24;16/06/1999;kaa_gent
