pos;name;pais;num;edad
Portero;Nick Shinton;Bélgica;33;10/05/2001
Portero;William Popp;Japón;-;21/10/1994
Portero;Xavier Gies;Bélgica;1;27/12/1996
Defensa central;Brian Plat;Países Bajos;4;05/04/2000
Defensa central;Bas Van den Eynden;Bélgica;6;07/01/2002
Defensa central;Andres Labie;Bélgica;16;24/03/2004
Defensa central;Derrick Tshimanga;Bélgica;26;06/11/1988
Defensa central;Milan Govaers;Bélgica;3;23/03/2004
Lateral izquierdo;Nilton;Portugal;75;25/05/2001
Lateral izquierdo;Marco Weymans ;Burundi;28;09/07/1997
Lateral derecho;Colin Dagba;Francia;2;09/09/1998
Lateral derecho;Edisson Jordanov;Bulgaria;24;08/06/1993
Lateral derecho;Dennis Gyamfi;Países Bajos;76;30/12/2001
Pivote;Axl Van Himbeeck;Bélgica;17;08/03/2005
Pivote;Ryan Sanusi ;Bélgica;18;05/01/1992
Centrocampista;Rayhan El Grafel;Bélgica;44;31/07/2007
Pivote;Xander Joosen;Bélgica;43;10/06/2006
Pivote;Keryane Mansouri;Argelia;46;03/07/2006
Mediocentro;Lukas Van Eenoo;Bélgica;8;06/02/1991
Mediocentro;Cyril Khetir;Argelia;94;28/02/2001
Interior izquierdo;Ken Masui;Japón;71;04/04/2001
Mediocentro ofensivo;Emre Uzun;Turquía;11;20/06/2005
Mediocentro ofensivo;Genki Haraguchi;Japón;78;09/05/1991
Mediocentro ofensivo;Glenn Claes;Bélgica;10;08/03/1994
Extremo izquierdo;Sabri Guendouz;Francia;19;09/02/2000
Extremo izquierdo;Rajiv van La Parra;Países Bajos;7;04/06/1991
Extremo derecho;Anas Haj Mohamed;Túnez;21;26/03/2005
Extremo derecho;Oscar Vargas;España;41;31/01/2006
Extremo derecho;D'Margio Wright-Phillips;Granada;32;24/09/2001
Delantero centro;Arnold Vula;RD del Congo;15;26/03/1999
Delantero centro;Siviwe Magidigidi;Sudáfrica;25;01/07/2005
Delantero centro;Ensar Brahic;Serbia;45;04/06/2004
