pos;name;pais;num;edad
Portero;Marco Hiller;Alemania;1;20/02/1997
Portero;Abdul Nurudeen;Ghana;33;08/02/1999
Portero;Julian Renner;Alemania;44;07/06/2003
Portero;Gaël Criminisi;Bélgica;77;27/06/2006
Defensa central;Rune Paeshuyse ;Bélgica;28;28/03/2002
Defensa central;Scott Kennedy;Canadá;4;31/03/1997
Defensa central;Merveille Bokadi;RD del Congo;21;21/05/1996
Defensa central;Igor Plastun;Ucrania;32;20/08/1990
Lateral izquierdo;Nicolas Gavory;Francia;5;16/02/1995
Lateral izquierdo;Lorenzo Youndje;Bélgica;13;12/04/2005
Lateral derecho;Yoram Zague;Francia;24;15/05/2006
Lateral derecho;Yentl Van Genechten;Bélgica;2;18/08/2000
Pivote;Gabriel Barès;Suiza;15;29/08/2000
Pivote;Uri Busquets;España;66;20/01/1999
Pivote;Raphael Di Matteo;Bélgica;14;23/01/2006
Mediocentro;Mustafa Mashaal;Catar;39;28/03/2001
Mediocentro;Gaëtan Hendrickx;Bélgica;6;30/03/1995
Mediocentro;Amadou Keita;Guinea;18;28/10/2001
Mediocentro;Mark Müller;Alemania;27;01/08/2001
Mediocentro;Kevin Möhwald;Alemania;8;03/07/1993
Mediocentro;Théo Maréchal;Bélgica;47;18/01/2005
Mediocentro ofensivo;Nathan Bitumazala;Francia;10;10/12/2002
Mediocentro ofensivo;Victor Tihon;Bélgica;57;08/09/2006
Extremo izquierdo;Isaac Nuhu;Ghana;7;30/09/2001
Extremo derecho;Logan Delaurier-Chaubet;Francia;22;22/04/2002
Extremo derecho;Bertan Caliskan;Turquía;19;07/02/2005
Extremo derecho;Jaden Malhage;Bélgica;25;13/07/2005
Delantero centro;Kikas;Portugal;98;17/09/1998
Delantero centro;Zakaria Atteri;Bélgica;20;11/02/2002
Delantero centro;Daniel Kasper;Alemania;9;23/06/2002
Delantero centro;Matteo Filorizzo;Bélgica;56;19/02/2006
