pos;name;pais;num;edad
Portero;Marko Ilic;Serbia;31;03/02/1998
Portero;Patrik Gunnarsson ;Islandia;1;15/11/2000
Portero;Ebbe De Vlaeminck;Bélgica;13;04/11/2005
Defensa central;James Ndjeungoue;Camerún;5;04/04/2003
Defensa central;Gilles Ruyssen;Bélgica;22;18/06/1994
Defensa central;Rudy Kohon;Francia;36;23/05/2004
Defensa central;Fuhna Wirsiy Nsolo;Bélgica;49;26/04/2005
Lateral izquierdo;Matthew Anderson;Escocia;3;25/01/2004
Lateral derecho;Mohamed Fofana;Costa de Marfil;15;29/12/2005
Lateral derecho;Gilles Dewaele;Bélgica;20;13/02/1996
Pivote;Boris Lambert;Bélgica;35;10/04/2000
Pivote;Manuel Osifo;Bélgica;25;31/07/2003
Pivote;Mouhamed Guèye;Senegal;2;16/11/2003
Mediocentro;Liam De Smet;Bélgica;6;12/04/2004
Mediocentro;Brecht Dejaegere ;Bélgica;19;29/05/1991
Mediocentro ofensivo;Lennard Hens;Bélgica;10;08/02/1996
Mediocentro ofensivo;Youssef Challouk;Bélgica;8;28/08/1995
Extremo izquierdo;Lenn De Smet;Bélgica;14;12/04/2004
Extremo izquierdo;Jellert Van Landschoot;Bélgica;18;27/08/1997
Extremo derecho;Csanád Vilmos Dénes;Hungría;11;17/11/2004
Extremo derecho;Ilan Hurtevent;Bélgica;7;25/05/2005
Delantero centro;Thierry Ambrose;Guadalupe;68;28/03/1997
Delantero centro;Cassius Mailula;Sudáfrica;21;12/06/2001
Delantero centro;Bryan Adinany;Madagascar;39;13/03/2000
Delantero centro;Jonathan Afolabi;Irlanda;9;14/01/2000
Delantero centro;Sixtus Ogbuehi;Nigeria;90;15/03/2003
Delantero;Abdoul Diop;Senegal;99;20/04/2005
