pos;name;pais;num;edad
Portero;Bill Lathouwers;Bélgica;1;18/09/1999
Portero;Justin Bengui;Francia;23;09/07/2005
Portero;Guillaume Hubert;Bélgica;28;11/01/1994
Portero;Mattéo Nkurunziza;Burundi;70;02/06/2004
Defensa central;Manoël Verhaeghe;Bélgica;47;25/03/2008
Defensa central;Djovkar Doudaev;Bélgica;4;10/11/2003
Defensa central;Mats Lemmens;Bélgica;83;10/03/2002
Defensa central;Madiou Keita;Guinea;13;29/08/2004
Lateral izquierdo;Yacine Chaib;Francia;27;27/01/2005
Lateral izquierdo;Noah Dodeigne;Bélgica;31;21/01/2003
Lateral izquierdo;Victor Barbosa;Nueva Zelanda;55;28/03/2007
Lateral derecho;Tibo Persyn;Bélgica;99;13/03/2002
Pivote;Ali Loune;Marruecos;30;17/03/2002
Pivote;Yacouba Barry;Francia;-;25/11/2002
Mediocentro;Olivier Dumont;Bélgica;14;06/03/2002
Mediocentro ofensivo;Ilyes Ziani ;Marruecos;11;20/06/2003
Mediocentro ofensivo;Aïman Maurer;Marruecos;29;25/09/2004
Mediocentro ofensivo;Jacob Montes;Nicaragua;8;20/10/1998
Mediocentro ofensivo;Tom Moore;Francia;59;19/04/2007
Extremo izquierdo;Gaëtan Robail;Francia;10;09/01/1994
Extremo izquierdo;Pjotr Kestens;Bélgica;26;26/10/2001
Delantero centro;Usman Simbakoli;República Centroafricana;9;12/12/2001
Delantero centro;Valentín Adamo;Uruguay;17;04/05/2002
Delantero centro;Kwasi Poku;Canadá;20;06/02/2003
Delantero centro;Francisco Montoro;Argentina;19;23/06/2004
