pos;name;pais;num;edad
Portero;Maxime Delanghe;Bélgica;21;23/05/2001
Portero;Warleson;Brasil;1;31/08/1996
Portero;Bas Langenbick;Bélgica;84;16/06/2003
Defensa central;Christiaan Ravych;Bélgica;66;30/07/2002
Defensa central;Emmanuel Kakou;Costa de Marfil;5;30/06/2005
Defensa central;Royer Caicedo;Colombia;33;05/05/2006
Lateral izquierdo;Nazinho;Portugal;20;20/07/2003
Lateral izquierdo;Geoffrey Kondo;Francia;24;02/05/2002
Lateral izquierdo;Valy Konaté;Costa de Marfil;12;14/11/2006
Lateral derecho;Gary Magnée;Bélgica;15;12/10/1999
Lateral derecho;Ibrahim Diakité;Guinea;2;31/10/2003
Pivote;Ibrahima Diaby;Francia;19;17/03/2007
Pivote;Hannes Van Der Bruggen ;Bélgica;28;01/04/1993
Mediocentro;Lawrence Agyekum;Ghana;6;23/11/2003
Mediocentro;Edan Diop;Francia;37;28/08/2004
Mediocentro;Nils De Wilde;Bélgica;27;27/01/2003
Interior derecho;Erick Nunes;Brasil;8;29/02/2004
Mediocentro ofensivo;Pieter Gerkens;Bélgica;18;17/02/1995
Mediocentro ofensivo;Oluwaseun Adewumi;Austria;17;23/02/2005
Extremo izquierdo;Heriberto Jurado;México;23;03/01/2005
Extremo derecho;Charles Herrmann;Alemania;11;21/01/2006
Extremo derecho;Krys Kouassi ;Francia;41;08/03/2007
Delantero centro;Oumar Diakité;Costa de Marfil;10;20/12/2003
Delantero centro;Steve Ngoura;Francia;9;22/02/2005
Delantero centro;Dante Vanzeir;Bélgica;13;16/04/1998
Delantero centro;Abdoul Kader Ouattara;Burkina Faso;7;26/05/2005
