pos;name;pais;num;edad
Portero;Nordin Jackers;Bélgica;29;05/09/1997
Portero;Simon Mignolet;Bélgica;22;06/03/1988
Portero;Axl De Corte;Bélgica;71;24/03/2006
Portero;Dani van den Heuvel ;Países Bajos;16;28/05/2003
Defensa central;Joel Ordóñez;Ecuador;4;21/04/2004
Defensa central;Brandon Mechele;Bélgica;44;28/01/1993
Defensa central;Jorne Spileers;Bélgica;58;21/01/2005
Defensa central;Vince Osuji;Nigeria;24;06/04/2006
Lateral izquierdo;Joaquin Seys;Bélgica;65;28/03/2005
Lateral izquierdo;Bjorn Meijer;Países Bajos;14;18/03/2003
Lateral derecho;Kyriani Sabbe;Bélgica;64;26/01/2005
Lateral derecho;Hugo Siquet;Bélgica;41;09/07/2002
Pivote;Raphael Onyedika;Nigeria;15;19/04/2001
Pivote;Aleksandar Stanković;Serbia;25;03/08/2005
Pivote;Lynnt Audoor;Bélgica;62;13/10/2003
Mediocentro;Ludovit Reis;Países Bajos;6;01/06/2000
Mediocentro;Hugo Vetlesen;Noruega;10;29/02/2000
Mediocentro;Alejandro Granados;España;70;30/05/2006
Mediocentro ofensivo;Félix Lemaréchal;Francia;80;07/08/2003
Mediocentro ofensivo;Hans Vanaken ;Bélgica;20;24/08/1992
Mediocentro ofensivo;Cisse Sandra;Bélgica;11;16/12/2003
Extremo izquierdo;Christos Tzolis;Grecia;8;30/01/2002
Extremo izquierdo;Carlos Forbs;Portugal;9;19/03/2004
Extremo izquierdo;Mamadou Diakhon;Francia;67;22/09/2005
Extremo izquierdo;Shandre Campbell;Sudáfrica;84;15/07/2005
Delantero centro;Nicolò Tresoldi;Alemania;7;20/08/2004
Delantero centro;Romeo Vermant;Bélgica;17;24/01/2004
Delantero centro;Gustaf Nilsson;Suecia;19;23/05/1997
