pos;name;pais;num;edad
Portero;Michael Verrips ;Países Bajos;34;03/12/1996
Portero;Gauthier Gallon;Francia;93;23/04/1993
Portero;Guillaume Dietsch;Francia;30;17/04/2001
Portero;Louis Fortin;Bélgica;1;12/01/2002
Defensa central;Luc Marijnissen;Países Bajos;5;09/01/2003
Defensa central;Luc De Fougerolles;Canadá;44;12/10/2005
Defensa central;Kobe Cools ;Bélgica;21;25/07/1997
Defensa central;Benjamin Fredrick ;Nigeria;22;28/05/2005
Defensa central;Bo De Kerf;Bélgica;6;21/11/2003
Defensa central;Bryan Goncalves;Francia;7;19/07/1996
Lateral izquierdo;Fabio Ferraro;Bélgica;88;03/09/2002
Lateral izquierdo;Nail Moutha-Sebtaoui;Marruecos;67;17/11/2005
Lateral derecho;Marsoni Sambu;Angola;70;03/06/1996
Pivote;Nathan Rôdes;Bélgica;18;11/12/1997
Pivote;Malcolm Viltard;Francia;24;24/10/2002
Pivote;Krzysztof Koton;Polonia;15;17/05/2003
Mediocentro;Noah Mbamba;Bélgica;17;05/01/2005
Mediocentro;Roman Kvet;República Checa;16;17/12/1997
Mediocentro;Desmond Acquah;Bélgica;23;23/07/2002
Interior derecho;David Hrncar;Eslovaquia;20;10/12/1997
Mediocentro ofensivo;Amine Daali;Bélgica;45;25/04/2004
Extremo izquierdo;Ragnar Oratmangoen;Indonesia;26;21/01/1998
Extremo derecho;Alireza Jahanbakhsh;Irán;27;11/08/1993
Mediapunta;Mohamed Berte;Bélgica;90;25/03/2002
Delantero centro;Bruny Nsimba ;Bélgica;77;05/04/2000
Delantero centro;David Toshevski;Macedonia del Norte;9;16/07/2001
Delantero centro;Jordan Kadiri;Nigeria;19;11/03/2000
Delantero centro;Ryan Adewusi;Bélgica;37;04/02/2005
