pos;name;pais;num;edad
Portero;Davy Roef ;Bélgica;33;06/02/1994
Portero;Kjell Peersman;Bélgica;30;21/05/2004
Portero;Tom Vandenberghe;Bélgica;23;17/08/1992
Portero;Bas Evers;Bélgica;31;02/12/2008
Defensa central;Siebe Van der Heyden;Bélgica;44;30/05/1998
Defensa central;Maksim Paskotsi ;Estonia;3;19/01/2003
Defensa central;Jean-Kévin Duverne;Haití;29;12/07/1997
Defensa central;Hatim Es-Saoubi;Marruecos;25;13/12/2000
Defensa central;Matties Volckaert;Bélgica;57;12/10/2002
Lateral izquierdo;Tiago Araújo;Portugal;20;27/03/2001
Lateral izquierdo;Abdoul Ayinde;Burkina Faso;39;17/07/2005
Lateral derecho;Daiki Hashioka;Japón;4;17/05/1999
Lateral derecho;Gilles De Meyer;Bélgica;35;17/09/2006
Pivote;Mohammed El Âdfaoui;Bélgica;28;28/02/2008
Pivote;Wout Asselman;Bélgica;62;20/01/2005
Mediocentro;Mathias Delorge ;Bélgica;17;31/07/2004
Mediocentro;Atsuki Ito;Japón;15;11/08/1998
Mediocentro;Leonardo Lopes;Portugal;22;30/11/1998
Interior derecho;Matisse Samoise ;Bélgica;18;21/11/2001
Mediocentro ofensivo;Hyun-seok Hong;Corea del Sur;24;16/06/1999
Mediocentro ofensivo;Abdelkahar Kadri;Argelia;37;24/06/2000
Mediocentro ofensivo;Aimé Omgba;Países Bajos;10;22/10/2002
Mediocentro ofensivo;Tibe De Vlieger;Bélgica;27;05/11/2005
Extremo izquierdo;Michal Skoras;Polonia;8;15/02/2000
Extremo izquierdo;Momodou Sonko;Suecia;11;31/01/2005
Delantero centro;Max Dean;Inglaterra;21;21/02/2004
Delantero centro;Wilfried Kanga;Costa de Marfil;7;21/02/1998
Delantero centro;Hyllarion Goore ;Costa de Marfil;45;24/08/2005
Delantero centro;Moctar Diop;Senegal;19;06/01/2005
