pos;name;pais;num;edad
Portero;Tobias Lawal;Austria;26;07/06/2000
Portero;Hendrik Van Crombrugge;Bélgica;1;30/04/1993
Portero;Lucca Brughmans;Bélgica;28;27/06/2008
Portero;Emile Doucouré;Malí;97;28/09/2007
Portero;Brent Stevens;Bélgica;71;11/08/2003
Defensa central;Matte Smets;Bélgica;6;04/01/2004
Defensa central;Mujaid Sadick;España;3;14/03/2000
Defensa central;Josué Kongolo ;Bélgica;44;13/04/2006
Defensa central;Adrián Palacios;Venezuela;34;07/06/2004
Lateral izquierdo;Yaimar Medina;Ecuador;19;05/11/2004
Lateral izquierdo;Joris Kayembe;RD del Congo;18;08/08/1994
Lateral derecho;Zakaria El Ouahdi;Marruecos;77;31/12/2001
Lateral derecho;Ken Nkuba;Bélgica;27;21/01/2002
Pivote;Ibrahima Sory Bangoura;Guinea;21;05/01/2004
Pivote;Nikolas Sattlberger;Austria;24;18/01/2004
Mediocentro;Bryan Heynen ;Bélgica;8;06/02/1997
Mediocentro;August De Wannemacker;Bélgica;56;25/12/2008
Mediocentro ofensivo;Konstantinos Karetsas;Grecia;20;19/11/2007
Mediocentro ofensivo;Daan Heymans;Bélgica;38;15/06/1999
Extremo izquierdo;Noah Adedeji-Sternberg;Bélgica;32;19/06/2005
Extremo izquierdo;Yira Sor;Nigeria;14;24/07/2000
Extremo izquierdo;Ayumu Yokoyama;Japón;30;04/03/2003
Extremo derecho;Jarne Steuckers;Bélgica;7;04/02/2002
Extremo derecho;Junya Ito;Japón;10;09/03/1993
Delantero centro;Jusef Erabi;Suecia;99;08/06/2003
Delantero centro;Robin Mirisola;Bélgica;29;08/12/2006
Delantero centro;Aaron Bibout;Camerún;23;09/09/2004
