pos;name;pais;num;edad
Portero;Nacho Miras;España;13;19/07/1997
Portero;Ortwin De Wolf ;Bélgica;1;23/04/1997
Portero;Tijn Van Ingelgom;Bélgica;15;05/03/2007
Portero;Axel Willockx;Bélgica;32;07/02/2007
Defensa central;Gora Diouf;Senegal;4;20/09/2003
Defensa central;José Marsà;España;3;04/03/2002
Defensa central;Redouane Halhal;Marruecos;2;05/03/2003
Defensa central;Tommy St. Jago;Curazao;33;03/01/2000
Defensa central;Ian Struyf;Bélgica;18;22/08/2007
Defensa central;Lovro Golic;Eslovenia;22;05/03/2006
Lateral izquierdo;Moncef Zekri;Marruecos;23;20/09/2008
Lateral derecho;Thérence Koudou;Francia;7;13/12/2004
Pivote;Fredrik Hammar ;Suecia;6;26/02/2001
Pivote;Mory Konaté;Guinea;8;15/11/1993
Pivote;Massimo Decoene;Bélgica;39;11/02/2004
Mediocentro;Dikeni Salifou;Alemania;29;08/06/2003
Mediocentro;Amine Ouahabi;Marruecos;40;04/07/2008
Mediocentro ofensivo;Mathis Servais;Bélgica;17;23/11/2004
Mediocentro ofensivo;Bilal Bafdili;Bélgica;11;03/08/2004
Mediocentro ofensivo;Kerim Mrabti;Suecia;19;20/05/1994
Mediocentro ofensivo;Maksim Kireev;Bielorrusia;10;09/07/2004
Extremo izquierdo;Myron van Brederode;Países Bajos;9;06/07/2003
Extremo izquierdo;Hassane Bandé;Burkina Faso;12;30/10/1998
Extremo izquierdo;Xavi Everaert;Bélgica;34;14/05/2007
Extremo derecho;Bill Antonio;Zimbabue;38;03/09/2002
Mediapunta;Halil Özdemir;Turquía;21;18/08/2005
Delantero centro;Benito Raman;Bélgica;14;07/11/1994
Delantero centro;Keano Vanrafelghem;Bélgica;27;02/08/2003
Delantero centro;Bouke Boersma;Países Bajos;28;23/06/2005
Delantero centro;Mauro Lenaerts;Bélgica;34;06/09/2007
