pos;name;pais;num;edad
Portero;Andreas Jungdal;Dinamarca;99;22/02/2002
Portero;Koen Van Langendonck;Bélgica;30;09/06/1989
Portero;Oskar Annell;Bélgica;31;15/02/2005
Defensa central;Emin Bayram;Turquía;40;02/04/2003
Defensa central;Seiji Kimura ;Japón;5;24/08/2001
Defensa central;Clinton Nsiala;Francia;6;17/01/2004
Defensa central;Amando Lapage;Bélgica;4;08/11/2004
Defensa central;Michée Ndembi;Bélgica;24;04/07/2007
Defensa central;Bakary Haidara;Costa de Marfil;3;01/06/2005
Defensa central;Roman Neustädter;Rusia;33;18/02/1988
Lateral izquierdo;Dylan Ourega;Francia;28;06/10/2004
Lateral derecho;Bryan Reynolds;Estados Unidos;22;28/06/2001
Lateral derecho;Lucas Mbamba ;Bélgica;23;12/08/2006
Pivote;Doğucan Haspolat ;Turquía;34;11/02/2000
Pivote;Arthur Piedfort;Bélgica;46;01/02/2005
Pivote;Sergiy Sydorchuk;Ucrania;8;02/05/1991
Mediocentro;Reda Laalaoui;Marruecos;12;11/05/2005
Mediocentro;Thomas Van den Keybus;Bélgica;39;25/04/2001
Mediocentro;Raf Smekens;Bélgica;17;29/01/2004
Mediocentro ofensivo;Isa Sakamoto;Japón;13;26/08/2003
Extremo izquierdo;Josimar Alcócer;Costa Rica;77;07/07/2004
Extremo izquierdo;Naoufal Bohamdi-Kamoni;Bélgica;11;20/08/2007
Extremo derecho;Allahyar Sayyadmanesh;Irán;7;29/06/2001
Extremo derecho;Shunsuke Saito;Japón;38;26/04/2005
Delantero centro;Nacho Ferri;España;90;05/10/2004
Delantero centro;Enis Destan ;Turquía;94;15/06/2002
Delantero centro;Afonso Patrão;Portugal;10;03/02/2007
Delantero centro;Eliot Bujupi ;Kosovo;9;03/07/2006
Delantero centro;Fernand Goure;Costa de Marfil;29;12/04/2002
