pos;name;pais;num;edad
Portero;Tobe Leysen ;Bélgica;1;09/03/2002
Portero;Maxence Prévot;Francia;16;09/04/1997
Portero;Owen Jochmans;Bélgica;61;28/01/2003
Portero;Théo Radelet ;Bélgica;95;15/11/2007
Defensa central;Takuma Ominami;Japón;5;13/12/1997
Defensa central;Ewoud Pletinckx;Bélgica;28;10/10/2000
Defensa central;Roggerio Nyakossi;Suiza;34;13/01/2004
Defensa central;Noë Dussenne;Bélgica;3;07/04/1992
Defensa central;Viktor Damjanic;Croacia;15;03/11/2005
Defensa central;Christ Souanga;Bélgica;63;23/10/2006
Lateral izquierdo;Takahiro Akimoto;Japón;30;31/01/1998
Lateral derecho;Óscar Gil;España;27;26/04/1998
Lateral derecho;Thibault Vlietinck;Bélgica;77;19/08/1997
Lateral derecho;Davis Opoku;Bélgica;99;29/10/2007
Pivote;Birger Verstraete;Bélgica;4;16/04/1994
Mediocentro;Lukasz Lakomy;Polonia;24;18/01/2001
Mediocentro;Siebe Schrijvers;Bélgica;8;18/07/1996
Mediocentro;Wouter George;Bélgica;6;03/03/2002
Mediocentro;Bryang Kayo ;Estados Unidos;48;27/07/2002
Mediocentro ofensivo;Youssef Maziz;Francia;10;24/06/1998
Mediocentro ofensivo;Mathieu Maertens ;Bélgica;33;27/03/1995
Mediocentro ofensivo;William Balikwisha;RD del Congo;21;12/05/1999
Extremo izquierdo;Thibaud Verlinden;Bélgica;7;09/07/1999
Extremo izquierdo;Henok Teklab;Alemania;14;16/11/1998
Delantero centro;Chukwubuikem Ikwuemesi;Nigeria;19;05/08/2001
Delantero centro;Sory Kaba;Guinea;39;28/07/1995
Delantero centro;Abdoul Karim Traoré;Guinea;9;12/01/2007
Delantero centro;Kyan Vaesen;Bélgica;17;13/04/2001
