pos;name;pais;num;edad
Portero;Marcos Peano ;Argentina;21;15/10/1998
Portero;Célestin De Schrevel;Bélgica;1;02/04/2002
Portero;Lucas Monteiro;Portugal;71;04/08/2005
Defensa central;Djibril Lamego;Francia;25;25/02/2003
Defensa central;Yllan Okou;Francia;99;23/12/2002
Defensa central;Maxence Maisonneuve;Francia;13;11/02/1999
Defensa central;Wagane Faye;Senegal;4;20/11/1993
Defensa central;Matthis Riou;Francia;26;19/01/2001
Lateral izquierdo;Thierry Lutonda;Bélgica;5;27/10/2000
Lateral izquierdo;Nolan Gillot;Francia;3;31/10/2002
Lateral derecho;Darío Benavides;España;19;12/01/2003
Pivote;Alexis Beka Beka;Francia;6;29/03/2001
Mediocentro;Majeed Ashimeru;Ghana;18;10/10/1997
Mediocentro;Sami Lahssaini;Bélgica;15;18/09/1998
Mediocentro;Samuel Gueulette;Ruanda;8;19/05/2000
Interior derecho;Jordi Liongola;Burundi;11;17/05/2000
Mediocentro ofensivo;Joël Ito;Bélgica;23;27/03/1998
Mediocentro ofensivo;Owen Maës;Francia;98;24/09/1998
Mediocentro ofensivo;Bryan Soumaré;Francia;28;11/02/1999
Mediocentro ofensivo;Noah Makembo-Ntemo;Bélgica;20;14/03/2007
Delantero centro;Jerry Afriyie;Ghana;22;10/12/2006
Delantero centro;Mouhamed Belkheir ;Argelia;14;02/01/1999
Delantero centro;Pape Moussa Fall;Senegal;7;04/07/2004
Delantero centro;Nachon Nsingi;Bélgica;27;24/04/2001
Delantero centro;Cristian Makaté;Guinea Ecuatorial;29;21/09/2002
