pos;name;pais;num;edad
Portero;Taishi Brandon Nozawa;Japón;41;25/12/2002
Portero;Yannick Thoelen;Bélgica;15;18/07/1990
Portero;Niels Devalckeneer;Bélgica;81;17/05/2004
Defensa central;Zeno Van Den Bosch;Bélgica;33;06/07/2003
Defensa central;Rein Van Helden ;Bélgica;20;24/07/2002
Defensa central;Kiki Kouyaté;Malí;25;15/04/1997
Defensa central;Yuto Tsunashima;Japón;4;15/08/2000
Defensa central;Andreas Verstraeten;Bélgica;21;10/01/2006
Defensa central;Björn Engels ;Bélgica;3;15/09/1994
Lateral izquierdo;Daam Foulon;Bélgica;5;23/03/1999
Lateral derecho;Semm Renders;Bélgica;17;17/12/2007
Lateral derecho;Kobe Corbanie;Bélgica;2;10/05/2005
Lateral derecho;Glenn Bijl;Países Bajos;23;13/07/1995
Pivote;Mauricio Benítez ;Argentina;16;03/02/2004
Pivote;Jules Ahoka;RD del Congo;6;08/05/2006
Mediocentro;Dennis Praet;Bélgica;8;14/05/1994
Mediocentro;Mahamadou Diawara;Francia;34;17/02/2005
Mediocentro;Youssef Hamdaoui;Marruecos;43;20/03/2008
Mediocentro;Xander Dierckx;Bélgica;78;27/02/2009
Interior izquierdo;Christopher Scott;Alemania;30;07/06/2002
Mediocentro ofensivo;Isaac Babadi;Países Bajos;10;06/04/2005
Mediocentro ofensivo;Farouck Adekami ;Costa de Marfil;22;07/08/2006
Extremo izquierdo;Marwan Al-Sahafi;Arabia Saudita;9;17/02/2004
Extremo derecho;Gyrano Kerk;Surinam;7;02/12/1995
Extremo derecho;Thibo Somers ;Bélgica;24;16/03/1999
Extremo derecho;Anthony Valencia;Ecuador;14;21/07/2003
Extremo derecho;Mukhammadali Urinboev;Uzbekistán;19;24/04/2005
Extremo derecho;Geoffry Hairemans ;Bélgica;11;21/10/1991
Delantero centro;Vincent Janssen ;Países Bajos;18;15/06/1994
Delantero centro;Gerard Vandeplas;Bélgica;79;25/02/2006
Delantero centro;Gabriel Jesus David;Nigeria;92;02/01/2007
