pos;name;pais;num;edad
Portero;Kjell Scherpen ;Países Bajos;37;23/01/2000
Portero;Vic Chambaere;Bélgica;1;10/01/2003
Portero;Giorgi Kavlashvili;Georgia;18;24/01/2007
Portero;Jens Teunckens;Bélgica;21;30/01/1998
Defensa central;Kevin Mac Allister;Argentina;5;07/11/1997
Defensa central;Fedde Leysen;Bélgica;48;09/07/2003
Defensa central;Ross Sykes;Inglaterra;26;26/03/1999
Defensa central;Christian Burgess ;Inglaterra;16;07/10/1991
Defensa central;Mamadou Thierno Barry ;Senegal;3;20/03/2005
Defensa central;Massiré Sylla;Senegal;29;07/01/2005
Lateral derecho;Louis Patris;Bélgica;27;07/06/2001
Lateral derecho;Guillaume François;Bélgica;19;03/06/1990
Mediocentro;Adem Zorgane;Argelia;8;06/01/2000
Mediocentro;Kamiel Van De Perre;Bélgica;6;12/02/2004
Mediocentro;Besfort Zeneli;Suecia;23;21/11/2002
Mediocentro;Rob Schoofs;Bélgica;17;23/03/1994
Mediocentro;Ivan Pavlic;Bélgica;14;10/11/2001
Interior derecho;Anan Khalaili;Israel;25;03/09/2004
Interior izquierdo;Ousseynou Niang ;Senegal;22;12/10/2001
Mediocentro ofensivo;Anouar Ait El Hadj;Bélgica;10;20/04/2002
Extremo izquierdo;Guilherme Smith;Brasil;11;11/06/2003
Delantero centro;Promise David ;Canadá;12;03/07/2001
Delantero centro;Raul Florucz ;Austria;30;10/06/2001
Delantero centro;Kevin Rodríguez ;Ecuador;13;04/03/2000
Delantero centro;Mohammed Fuseini;Ghana;7;16/05/2002
Delantero centro;Marc Giger;Suiza;20;27/03/2004
Delantero centro;Mateo Biondic ;Alemania;9;24/07/2003
