pos;name;pais;num;edad
Portero;Colin Coosemans ;Bélgica;26;03/08/1992
Portero;Justin Heekeren;Alemania;32;27/11/2000
Portero;Joachim Imbrechts;Suecia;73;09/10/2001
Defensa central;Lucas Hey;Dinamarca;3;13/04/2003
Defensa central;Marco Kana ;Bélgica;55;08/08/2002
Defensa central;Mihajlo Ilić;Serbia;15;04/06/2003
Defensa central;Moussa Diarra;Malí;93;10/11/2000
Defensa central;Mathys Angély;Francia;4;21/04/2007
Lateral izquierdo;Ludwig Augustinsson;Suecia;6;21/04/1994
Lateral derecho;Killian Sardella;Bélgica;54;02/05/2002
Lateral derecho;Ilay Camara;Senegal;7;18/01/2003
Lateral derecho;Ali Maamar;Marruecos;79;23/03/2005
Lateral derecho;Thomas Foket;Bélgica;25;25/09/1994
Pivote;Enric Llansana;Países Bajos;24;12/04/2001
Pivote;Mats Rits;Bélgica;23;18/07/1993
Mediocentro;Nathan De Cat;Bélgica;74;19/07/2008
Mediocentro;Nathan-Dylan Saliba;Canadá;13;07/02/2004
Mediocentro;Anas Tajaouart;Marruecos;78;07/09/2005
Mediocentro ofensivo;Mario Stroeykens;RD del Congo;29;29/09/2004
Mediocentro ofensivo;Yari Verschaeren ;Bélgica;10;12/07/2001
Mediocentro ofensivo;Thorgan Hazard;Bélgica;11;29/03/1993
Mediocentro ofensivo;Alexis Flips;Francia;8;18/01/2000
Extremo izquierdo;César Huerta ;México;21;03/12/2000
Extremo izquierdo;Coba da Costa;Guinea-Bissau;77;26/07/2002
Extremo izquierdo;Ibrahim Kanaté;Malí;99;23/10/2006
Extremo derecho;Tristan Degreef;Bélgica;83;19/01/2005
Delantero centro;Mihajlo Cvetkovic;Serbia;9;10/01/2007
Delantero centro;Adriano Bertaccini;Bélgica;91;13/08/2000
Delantero centro;Danylo Sikan;Ucrania;14;16/04/2001
Delantero centro;Elyèss Dao;Marruecos;22;20/11/2006
