pos;name;pais;num;edad
Portero;Martin Delavallée;Bélgica;55;18/03/2004
Portero;Mohamed Koné;Costa de Marfil;30;07/03/2002
Portero;Théo Defourny;Bélgica;33;25/04/1992
Portero;Nicolas Closset;Bélgica;60;10/07/2004
Defensa central;Aiham Ousou ;Siria;4;09/01/2000
Defensa central;Check Keita;Malí;95;02/04/2003
Defensa central;Mehdi Boukamir;Marruecos;32;26/01/2004
Defensa central;Massamba Sow;Francia;44;13/06/2004
Defensa central;Robin Denuit;Bélgica;50;21/02/2002
Lateral izquierdo;Mardochée Nzita;Bélgica;24;24/02/2000
Lateral izquierdo;Jules Gaudin;Francia;23;09/05/2000
Lateral derecho;Lewin Blum;Suiza;27;27/07/2001
Lateral derecho;Kevin Van Den Kerkhof;Argelia;3;14/03/1996
Pivote;Étienne Camara;Francia;5;30/03/2003
Pivote;Amine Boukamir;Marruecos;56;23/10/2006
Pivote;Mory Kera;Bélgica;51;26/06/2008
Mediocentro;Yassine Titraoui;Argelia;22;26/07/2003
Mediocentro;Yassine Khalifi;Marruecos;40;09/08/2005
Interior derecho;Patrick Pflücke;Alemania;14;30/11/1996
Mediocentro ofensivo;Jakob Napoleon Romsaas;Noruega;8;16/05/2004
Extremo izquierdo;Parfait Guiagon;Costa de Marfil;10;22/02/2001
Extremo derecho;Antoine Bernier;Bélgica;17;10/09/1997
Extremo derecho;Filip Szymczak;Polonia;9;06/05/2002
Extremo derecho;Isaac Mbenza;Bélgica;7;08/03/1996
Extremo derecho;Quentin Benaets;Bélgica;43;26/08/2003
Delantero centro;Aurélien Scheidler;Francia;21;04/06/1998
Delantero centro;Antoine Colassin;Bélgica;25;26/02/2001
