pos;name;pais;num;edad
Portero;Matthieu Epolo ;RD del Congo;1;15/01/2005
Portero;Lucas Pirard;Bélgica;21;10/03/1995
Portero;Belmin Dizdarevic;Bosnia y Herzegovina;35;09/08/2001
Portero;Matteo Godfroid;Bélgica;12;25/02/2004
Defensa central;Ibe Hautekiet;Bélgica;25;13/04/2002
Defensa central;Ibrahim Karamoko;Francia;20;23/07/2001
Defensa central;Daan Dierckx ;Bélgica;29;24/02/2003
Defensa central;David Bates;Escocia;4;05/10/1996
Defensa central;Josué Homawoo;Togo;24;12/11/1997
Lateral izquierdo;Gustav Mortensen;Dinamarca;3;19/03/2004
Lateral izquierdo;Souleyman Doumbia;Costa de Marfil;15;24/09/1996
Lateral izquierdo;Alexandro Calut ;Bélgica;22;22/04/2003
Lateral izquierdo;Boli Bolingoli;Bélgica;5;01/07/1995
Lateral derecho;Marlon Fossey  ;Estados Unidos;13;09/09/1998
Lateral derecho;Henry Lawrence;Inglaterra;18;21/09/2001
Lateral derecho;Steeven Assengue ;Bélgica;53;14/06/2005
Pivote;Marco Ilaimaharitra;Madagascar;23;26/07/1995
Mediocentro;Teddy Teuma ;Malta;80;30/09/1993
Mediocentro;Nayel Mehssatou;Chile;8;11/04/2002
Mediocentro;Casper Nielsen ;Dinamarca;94;29/04/1994
Mediocentro;Léandre Kuavita;Bélgica;14;31/05/2004
Interior izquierdo;Tobias Mohr;Alemania;7;24/08/1995
Mediocentro ofensivo;Mohammed El Hankouri;Marruecos;27;01/07/1997
Extremo izquierdo;Rafiki Saïd;Comoras;17;15/03/2000
Extremo derecho;Adnane Abid;Bélgica;11;23/08/2003
Delantero centro;Dennis Eckert Ayensa;Alemania;10;09/01/1997
Delantero centro;Timothé Nkada;Francia;59;20/07/1999
Delantero centro;Thomas Henry ;Francia;9;20/09/1994
Delantero centro;René Mitongo;Bélgica;19;18/01/2008
Delantero centro;Grejohn Kyei;Francia;95;12/08/1995
Delantero centro;Bernard Nguene;Camerún;26;04/08/2006
