pos;name;pais;num;edad
Portero;Brent Gabriël;Bélgica;13;27/01/1999
Portero;Louis Bostyn;Bélgica;1;04/10/1993
Portero;Arnaud Dobbels;Bélgica;42;02/02/2005
Defensa central;Anton Tanghe;Bélgica;3;28/01/1999
Defensa central;Jakob Kiilerich;Dinamarca;5;10/05/2000
Defensa central;Lukas Willen;Bélgica;31;25/04/2003
Defensa central;Laurent Lemoine;Bélgica;4;24/04/1998
Defensa central;Kadir Seven ;Turquía;2;05/05/2003
Defensa central;Mouhamadou Sall;Senegal;-;21/10/2007
Defensa central;Benoit De Jaegere;Bélgica;45;12/04/2004
Lateral izquierdo;Yannick Cappelle;Bélgica;55;07/07/2003
Lateral izquierdo;Emran Soglo;Inglaterra;17;11/07/2005
Lateral derecho;Wilguens Paugain;Haití;12;24/08/2001
Lateral derecho;Benoît Nyssen;Bélgica;19;12/09/1997
Pivote;Enrique Lofolomo;Alemania;6;14/04/2000
Centrocampista;Ibrahim Diabaté;Costa de Marfil;27;16/06/2004
Mediocentro;Thomas Claes;Bélgica;8;26/03/2004
Mediocentro;Dirk Asare;Bélgica;40;04/07/2004
Mediocentro;Thibaud Sergeant;Bélgica;64;19/09/2005
Mediocentro;Tristan Panduro ;Dinamarca;25;10/01/2008
Mediocentro ofensivo;Jeppe Erenbjerg;Dinamarca;10;29/04/2000
Mediocentro ofensivo;Serxho Ujka ;Albania;36;27/08/1998
Extremo izquierdo;Joseph Opoku;Ghana;22;08/08/2005
Extremo izquierdo;Marley Aké;Francia;39;05/01/2001
Extremo derecho;Stavros Gavriel;Chipre;11;29/01/2002
Extremo derecho;Nikola Mituljikic ;Serbia;7;20/01/2003
Extremo derecho;Malick Mbaye;Senegal;30;06/04/2004
Delantero centro;Anosike Ementa;Dinamarca;18;03/05/2002
Delantero centro;Tobias Hedl ;Austria;20;15/01/2003
Delantero centro;Jelle Vossen ;Bélgica;9;22/03/1989
Delantero centro;Siebe Van Keymolen;Bélgica;58;10/02/2005
