pos;name;pais;num;edad
Portero;Leo Kokubo;Japón;16;23/01/2001
Portero;Jo Coppens;Bélgica;12;21/12/1990
Portero;Matt Lendfers;Bélgica;21;10/03/2006
Defensa central;Loïc Mbe Soh;Francia;4;13/06/2001
Defensa central;Joedrick Pupe;Bélgica;23;04/06/1997
Defensa central;Visar Musliu ;Macedonia del Norte;26;13/11/1994
Defensa central;Shogo Taniguchi ;Japón;5;15/07/1991
Defensa central;Wolke Janssens;Bélgica;22;11/01/1995
Defensa central;Hugo Lambotte;Bélgica;34;20/06/2006
Lateral izquierdo;Taiga Hata;Japón;3;20/01/2002
Lateral izquierdo;Simen Juklerød;Noruega;18;18/05/1994
Lateral derecho;Robert-Jan Vanwesemael;Bélgica;60;26/03/2002
Pivote;Abdoulaye Sissako;Francia;8;26/05/1998
Pivote;Alouis Diriken;Bélgica;33;01/04/2004
Mediocentro;Rihito Yamamoto;Japón;6;12/12/2001
Mediocentro;Ryan Merlen;Francia;14;11/05/2002
Mediocentro ofensivo;Ryotaro Ito;Japón;13;06/02/1998
Mediocentro ofensivo;Shion Shinkawa;Japón;99;06/08/2007
Mediocentro ofensivo;Isaías Delpupo;Argentina;11;31/03/2003
Mediocentro ofensivo;Adam Nhaili;Bélgica;53;09/08/2005
Mediocentro ofensivo;Illyès Benachour;Marruecos;31;09/01/2007
Extremo izquierdo;Ilias Sebaoui;Marruecos;10;04/10/2001
Extremo izquierdo;Kaito Matsuzawa;Japón;38;05/02/2001
Extremo derecho;Arbnor Muja;Albania;7;29/11/1998
Delantero centro;Keisuke Goto;Japón;42;03/06/2005
Delantero centro;Oumar Diouf;Senegal;77;15/05/2003
