pos;name;pais1;pais2;num;edad;team_name
Portero;Marvin Keller;Suiza;;1;03/07/2002;bsc_young_boys
Portero;Ardian Bajrami;Suiza;Kosovo;-;08/03/2004;bsc_young_boys
Portero;Heinz Lindner;Austria;;12;17/07/1990;bsc_young_boys
Portero;Dario Marzino;Suiza;;40;19/09/1996;bsc_young_boys
Defensa central;Tanguy Zoukrou;Francia;;4;07/05/2003;bsc_young_boys
Defensa central;Gregory Wüthrich;Suiza;Ghana;5;04/12/1994;bsc_young_boys
Defensa central;Loris Benito;Suiza;;23;07/01/1992;bsc_young_boys
Defensa central;Mats Seiler;Suiza;;55;04/08/2005;bsc_young_boys
Lateral izquierdo;Jaouen Hadjam;Argelia;Francia;3;26/03/2003;bsc_young_boys
Lateral izquierdo;Stefan Bukinac;Serbia;;33;08/07/2005;bsc_young_boys
Lateral izquierdo;Olivier Mambwa;Suiza;;57;05/12/2008;bsc_young_boys
Lateral derecho;Ryan Andrews;Inglaterra;;2;26/08/2004;bsc_young_boys
Lateral derecho;Yan Valery;Túnez;Francia;22;22/02/1999;bsc_young_boys
Lateral derecho;Saidy Janko;Gambia;Suiza;17;22/10/1995;bsc_young_boys
Pivote;Edimilson Fernandes;Suiza;;6;15/04/1996;bsc_young_boys
Pivote;Sandro Lauper;Suiza;;30;25/10/1996;bsc_young_boys
Mediocentro;Armin Gigovic;Bosnia y Herzegovina;Suecia;37;06/04/2002;bsc_young_boys
Mediocentro;Rayan Raveloson;Madagascar;Francia;45;16/01/1997;bsc_young_boys
Interior derecho;Darian Males;Suiza;;39;03/05/2001;bsc_young_boys
Interior izquierdo;Joël Monteiro;Suiza;Portugal;77;05/08/1999;bsc_young_boys
Interior izquierdo;Alan Virginius;Francia;;7;03/01/2003;bsc_young_boys
Mediocentro ofensivo;Alvyn Sanches;Suiza;;10;12/02/2003;bsc_young_boys
Mediocentro ofensivo;Dominik Pech;República Checa;;13;04/09/2006;bsc_young_boys
Mediocentro ofensivo;Christian Fassnacht;Suiza;;16;11/11/1993;bsc_young_boys
Extremo izquierdo;Ebrima Colley;Gambia;;11;01/02/2000;bsc_young_boys
Delantero centro;Chris Bedia;Costa de Marfil;Francia;29;05/03/1996;bsc_young_boys
Delantero centro;Samuel Essende;RD del Congo;Francia;99;23/01/1998;bsc_young_boys
Delantero centro;Facinet Conte;Guinea;Francia;31;24/03/2005;bsc_young_boys
Portero;Marwin Hitz;Suiza;;1;18/09/1987;fc_basel_1893
Portero;Mirko Salvi;Suiza;Italia;13;14/02/1994;fc_basel_1893
Portero;Tim Pfeiffer;Alemania;;47;12/05/2005;fc_basel_1893
Defensa central;Becir Omeragic;Suiza;Bosnia y Herzegovina;4;20/01/2002;fc_basel_1893
Defensa central;Flavius Daniliuc;Austria;;24;27/04/2001;fc_basel_1893
Defensa central;Nicolas Vouilloz;Suiza;;3;11/05/2001;fc_basel_1893
Defensa central;Finn van Breemen;Países Bajos;;25;25/02/2003;fc_basel_1893
Defensa central;Marvin Akahomen;Suiza;;43;15/07/2007;fc_basel_1893
Lateral izquierdo;Dominik Schmid;Suiza;;31;10/03/1998;fc_basel_1893
Lateral izquierdo;Moussa Cissé;Francia;;29;29/04/2003;fc_basel_1893
Lateral derecho;Keigo Tsunemoto;Japón;;6;21/10/1998;fc_basel_1893
Lateral derecho;Kevin Rüegg;Suiza;;27;05/08/1998;fc_basel_1893
Pivote;Andrej Bacanin;Serbia;;14;07/03/2007;fc_basel_1893
Mediocentro;Metinho;RD del Congo;Brasil;5;23/04/2003;fc_basel_1893
Mediocentro;Koba Koindredi;Francia;;8;27/10/2001;fc_basel_1893
Mediocentro;Léo Leroy;Francia;;22;14/02/2000;fc_basel_1893
Mediocentro;Dion Kacuri;Suiza;Kosovo;28;11/02/2004;fc_basel_1893
Mediocentro ofensivo;Xherdan Shaqiri;Suiza;Kosovo;10;10/10/1991;fc_basel_1893
Mediocentro ofensivo;Adriano Onyegbule;Alemania;Nigeria;-;23/06/2006;fc_basel_1893
Extremo izquierdo;Bénie Traoré;Costa de Marfil;;11;30/11/2002;fc_basel_1893
Extremo izquierdo;Julien Duranville;Bélgica;;18;05/05/2006;fc_basel_1893
Extremo izquierdo;Ibrahim Salah;Marruecos;Bélgica;21;30/08/2001;fc_basel_1893
Extremo derecho;Marin Soticek;Croacia;;19;18/09/2004;fc_basel_1893
Delantero centro;Moritz Broschinski;Alemania;;17;23/09/2000;fc_basel_1893
Delantero centro;Albian Ajeti;Suiza;Albania;23;26/02/1997;fc_basel_1893
Delantero centro;Giacomo Koloto;Suiza;;37;31/01/2008;fc_basel_1893
Delantero centro;Kaio Eduardo;Brasil;;46;29/04/2005;fc_basel_1893
Portero;Amir Saipi;Kosovo;Suiza;1;08/07/2000;fc_lugano
Portero;David von Ballmoos;Suiza;;16;30/12/1994;fc_lugano
Portero;Diego Mina;Suiza;;99;12/08/2005;fc_lugano
Portero;Serif Berbic;Suiza;Bosnia y Herzegovina;13;25/11/2001;fc_lugano
Defensa central;Antonios Papadopoulos;Alemania;Grecia;6;10/09/1999;fc_lugano
Defensa central;Lukas Mai;Alemania;;17;31/03/2000;fc_lugano
Defensa central;Hannes Delcroix;Haití;Bélgica;3;28/02/1999;fc_lugano
Defensa central;Damian Kelvin;Suiza;Nigeria;4;15/06/2002;fc_lugano
Defensa central;Carbone;Brasil;Italia;44;29/01/2005;fc_lugano
Lateral izquierdo;Martim Marques;Portugal;;26;11/02/2004;fc_lugano
Lateral izquierdo;Ezgjan Alioski;Macedonia del Norte;Suiza;7;12/02/1992;fc_lugano
Lateral izquierdo;Yassin Sbai;Suiza;Italia;47;14/07/2003;fc_lugano
Lateral derecho;Mattia Zanotti;Italia;;46;11/01/2003;fc_lugano
Lateral derecho;Zachary Brault-Guillard;Canadá;Francia;2;30/12/1998;fc_lugano
Pivote;Mohamed Belhadj Mahmoud;Túnez;;29;24/04/2000;fc_lugano
Pivote;Ilija Maslarov;Macedonia del Norte;Suiza;49;02/01/2007;fc_lugano
Mediocentro;Uran Bislimi;Suiza;Kosovo;25;25/09/1999;fc_lugano
Mediocentro;Anto Grgic;Suiza;;8;28/11/1996;fc_lugano
Mediocentro;Ahmed Kendouci;Argelia;;14;22/06/1999;fc_lugano
Interior izquierdo;Yanis Cimignani;Francia;Burkina Faso;21;22/01/2002;fc_lugano
Mediocentro ofensivo;Daniel Dos Santos;Suiza;;27;29/12/2002;fc_lugano
Mediocentro ofensivo;Claudio Cassano;Italia;;19;22/07/2003;fc_lugano
Mediocentro ofensivo;Mattia Bottani;Suiza;;10;24/05/1991;fc_lugano
Extremo izquierdo;Elias Pihlström;Suecia;;24;31/08/2006;fc_lugano
Extremo derecho;Hicham Mahou;Francia;Marruecos;18;02/07/1999;fc_lugano
Extremo derecho;Renato Steffen;Suiza;;11;03/11/1991;fc_lugano
Delantero centro;Georgios Koutsias;Grecia;;9;08/02/2004;fc_lugano
Delantero centro;Kevin Behrens;Alemania;;91;03/02/1991;fc_lugano
Portero;Lawrence Ati Zigi;Ghana;;1;29/11/1996;fc_st_gallen_1879
Portero;Lukas Watkowiak;Alemania;;25;06/03/1996;fc_st_gallen_1879
