pos;name;pais;num;edad
Portero;Marvin Keller;Suiza;1;03/07/2002
Portero;Ardian Bajrami;Suiza;-;08/03/2004
Portero;Heinz Lindner;Austria;12;17/07/1990
Portero;Dario Marzino;Suiza;40;19/09/1996
Defensa central;Gregory Wüthrich;Suiza;5;04/12/1994
Defensa central;Tanguy Zoukrou;Francia;4;07/05/2003
Defensa central;Loris Benito ;Suiza;23;07/01/1992
Defensa central;Mats Seiler;Suiza;55;04/08/2005
Lateral izquierdo;Jaouen Hadjam ;Argelia;3;26/03/2003
Lateral izquierdo;Stefan Bukinac;Serbia;33;08/07/2005
Lateral izquierdo;Olivier Mambwa;Suiza;57;05/12/2008
Lateral derecho;Ryan Andrews ;Inglaterra;2;26/08/2004
Lateral derecho;Yan Valery;Túnez;22;22/02/1999
Lateral derecho;Saidy Janko;Gambia;17;22/10/1995
Pivote;Edimilson Fernandes;Suiza;6;15/04/1996
Pivote;Sandro Lauper;Suiza;30;25/10/1996
Mediocentro;Armin Gigovic;Bosnia y Herzegovina;37;06/04/2002
Mediocentro;Rayan Raveloson;Madagascar;45;16/01/1997
Interior derecho;Darian Males;Suiza;39;03/05/2001
Interior izquierdo;Joël Monteiro;Suiza;77;05/08/1999
Interior izquierdo;Alan Virginius;Francia;7;03/01/2003
Mediocentro ofensivo;Alvyn Sanches;Suiza;10;12/02/2003
Mediocentro ofensivo;Dominik Pech;República Checa;13;04/09/2006
Mediocentro ofensivo;Christian Fassnacht;Suiza;16;11/11/1993
Extremo izquierdo;Ebrima Colley;Gambia;11;01/02/2000
Delantero centro;Samuel Essende;RD del Congo;99;23/01/1998
Delantero centro;Chris Bedia;Costa de Marfil;29;05/03/1996
Delantero centro;Facinet Conte ;Guinea;31;24/03/2005
