pos;name;pais;num;edad
Portero;Marwin Hitz;Suiza;1;18/09/1987
Portero;Mirko Salvi;Suiza;13;14/02/1994
Portero;Tim Pfeiffer;Alemania;47;12/05/2005
Defensa central;Becir Omeragic;Suiza;4;20/01/2002
Defensa central;Flavius Daniliuc ;Austria;24;27/04/2001
Defensa central;Finn van Breemen;Países Bajos;25;25/02/2003
Defensa central;Nicolas Vouilloz;Suiza;3;11/05/2001
Defensa central;Marvin Akahomen;Suiza;43;15/07/2007
Lateral izquierdo;Dominik Schmid;Suiza;31;10/03/1998
Lateral izquierdo;Moussa Cissé;Francia;29;29/04/2003
Lateral derecho;Keigo Tsunemoto;Japón;6;21/10/1998
Lateral derecho;Kevin Rüegg;Suiza;27;05/08/1998
Pivote;Andrej Bacanin;Serbia;14;07/03/2007
Mediocentro;Metinho;RD del Congo;5;23/04/2003
Mediocentro;Koba Koindredi;Francia;8;27/10/2001
Mediocentro;Léo Leroy;Francia;22;14/02/2000
Mediocentro;Dion Kacuri;Suiza;28;11/02/2004
Mediocentro ofensivo;Xherdan Shaqiri ;Suiza;10;10/10/1991
Mediocentro ofensivo;Adriano Onyegbule;Alemania;-;23/06/2006
Extremo izquierdo;Bénie Traoré;Costa de Marfil;11;30/11/2002
Extremo izquierdo;Julien Duranville;Bélgica;18;05/05/2006
Extremo izquierdo;Ibrahim Salah;Marruecos;21;30/08/2001
Extremo derecho;Marin Soticek ;Croacia;19;18/09/2004
Delantero centro;Moritz Broschinski;Alemania;17;23/09/2000
Delantero centro;Albian Ajeti;Suiza;23;26/02/1997
Delantero centro;Kaio Eduardo ;Brasil;46;29/04/2005
Delantero centro;Giacomo Koloto;Suiza;37;31/01/2008
