pos;name;pais;num;edad
Portero;Karlo Letica;Croacia;25;11/02/1997
Portero;Thomas Castella;Suiza;1;30/06/1993
Defensa central;Karim Sow;Suiza;71;22/05/2003
Defensa central;Kévin Mouanga;Congo;14;24/07/2000
Defensa central;Dircssi Ngonzo;Suiza;5;31/07/2005
Defensa central;Rodolfo Lippo;Finlandia;54;13/05/2004
Lateral izquierdo;Morgan Poaty;Congo;18;15/07/1997
Lateral izquierdo;Sékou Fofana;Francia;93;25/03/2003
Lateral derecho;Theo Bergvall;Suecia;6;21/09/2004
Lateral derecho;Hamza Abdallah ;Comoras;20;13/06/2003
Pivote;Jamie Roche ;Suecia;8;05/04/2001
Pivote;Olivier Custodio ;Suiza;10;10/02/1995
Pivote;Sékou Koné;Malí;80;03/02/2006
Mediocentro;Gabriel Sigua ;Georgia;38;30/06/2005
Mediocentro;Nicky Beloko;Suiza;16;16/02/2000
Mediocentro;Souleymane N'Diaye ;Suiza;47;01/11/2005
Interior derecho;Brandon Soppy;Francia;2;21/02/2002
Mediocentro ofensivo;Beyatt Lekoueiry;Mauritania;27;11/04/2005
Mediocentro ofensivo;Florent Mollet ;Francia;91;19/11/1991
Mediocentro ofensivo;Ethan Bruchez;Suiza;19;07/04/2008
Extremo derecho;Alban Ajdini;Kosovo;7;09/07/1999
Delantero centro;Gaoussou Diakité;Malí;70;26/09/2005
Delantero centro;Theo Bair ;Canadá;9;27/08/1999
Delantero centro;Omar Janneh;España;78;23/08/2006
Delantero centro;Nathan Butler-Oyedeji;Inglaterra;11;04/01/2003
Delantero centro;Enzo Kana-Biyik;Francia;22;08/01/2007
Delantero centro;Seydou Traoré;Costa de Marfil;17;05/12/2004
