pos;name;pais;num;edad
Portero;Amir Saipi;Kosovo;1;08/07/2000
Portero;David von Ballmoos;Suiza;16;30/12/1994
Portero;Diego Mina;Suiza;99;12/08/2005
Portero;Serif Berbic;Suiza;13;25/11/2001
Defensa central;Antonios Papadopoulos;Alemania;6;10/09/1999
Defensa central;Hannes Delcroix;Haití;3;28/02/1999
Defensa central;Lukas Mai;Alemania;17;31/03/2000
Defensa central;Damian Kelvin;Suiza;4;15/06/2002
Defensa central;Carbone;Brasil;44;29/01/2005
Lateral izquierdo;Martim Marques ;Portugal;26;11/02/2004
Lateral izquierdo;Ezgjan Alioski ;Macedonia del Norte;7;12/02/1992
Lateral izquierdo;Yassin Sbai;Suiza;47;14/07/2003
Lateral derecho;Mattia Zanotti;Italia;46;11/01/2003
Lateral derecho;Zachary Brault-Guillard;Canadá;2;30/12/1998
Pivote;Mohamed Belhadj Mahmoud;Túnez;29;24/04/2000
Pivote;Ilija Maslarov;Macedonia del Norte;49;02/01/2007
Mediocentro;Uran Bislimi ;Suiza;25;25/09/1999
Mediocentro;Anto Grgic;Suiza;8;28/11/1996
Mediocentro;Ahmed Kendouci;Argelia;14;22/06/1999
Interior izquierdo;Yanis Cimignani;Francia;21;22/01/2002
Mediocentro ofensivo;Daniel Dos Santos;Suiza;27;29/12/2002
Mediocentro ofensivo;Claudio Cassano ;Italia;19;22/07/2003
Mediocentro ofensivo;Mattia Bottani ;Suiza;10;24/05/1991
Extremo izquierdo;Elias Pihlström;Suecia;24;31/08/2006
Extremo derecho;Hicham Mahou;Francia;18;02/07/1999
Extremo derecho;Renato Steffen;Suiza;11;03/11/1991
Delantero centro;Georgios Koutsias;Grecia;9;08/02/2004
Delantero centro;Kevin Behrens;Alemania;91;03/02/1991
