pos;name;pais;num;edad
Portero;Pascal Loretz;Suiza;1;01/06/2003
Portero;Julian Bock;Alemania;41;29/05/2004
Portero;Vaso Vasic;Serbia;90;26/04/1990
Portero;Lionel Huwiler;Suiza;23;17/02/2007
Defensa central;Adrian Bajrami;Suiza;4;05/04/2002
Defensa central;Bung Meng Freimann;Suiza;46;09/12/2005
Defensa central;Stefan Knezevic;Suiza;5;30/10/1996
Defensa central;Jesper Löfgren;Suecia;3;03/05/1997
Defensa central;Mauricio Willimann;México;42;16/01/2003
Defensa central;Erblin Sadikaj;Suiza;45;13/03/2008
Lateral izquierdo;Rúben Dantas Fernandes;Suiza;22;19/05/2003
Lateral izquierdo;Andrejs Ciganiks;Letonia;14;12/04/1997
Lateral derecho;Severin Ottiger;Suiza;2;20/04/2003
Pivote;Taisei Abe;Japón;6;07/06/2004
Pivote;Demir Xhemalija;Suiza;34;07/06/2006
Mediocentro;Tyron Owusu;Suiza;24;08/06/2003
Mediocentro;Levin Winkler;Suiza;29;13/08/2003
Mediocentro;Mio Zimmermann ;Suiza;80;08/08/2007
Interior derecho;Pius Dorn ;Alemania;20;24/09/1996
Mediocentro ofensivo;Lucas Silva;Portugal;73;25/11/2006
Mediocentro ofensivo;Matteo Di Giusto;Suiza;11;18/08/2000
Extremo izquierdo;Kevin Spadanuda ;Suiza;7;16/01/1997
Extremo derecho;Julian Von Moos ;Suiza;81;01/04/2001
Extremo derecho;Oscar Kabwit;RD del Congo;16;05/05/2005
Delantero centro;Lars Villiger;Suiza;27;29/04/2003
Delantero centro;Adrian Grbic;Austria;9;04/08/1996
Delantero centro;Sandro Wyss;Suiza;39;03/05/2008
Delantero centro;Sinan Karweina;Alemania;10;29/03/1999
Delantero centro;Andrej Vasovic;Suiza;19;14/10/2007
