pos;name;pais;num;edad
Portero;Anthony Racioppi;Suiza;1;31/12/1998
Portero;Francesco Ruberto;Suiza;12;19/03/1993
Portero;Simon Caillet;Suiza;40;05/07/2006
Defensa central;Jan Kronig;Suiza;17;24/06/2000
Defensa central;Kreshnik Hajrizi;Kosovo;28;28/05/1999
Defensa central;Noé Sow;Francia;5;18/12/1998
Defensa central;Ryan Kessler;Suiza;38;28/08/2005
Defensa central;Maxime Dubosson;Suiza;24;24/11/2004
Defensa central;Nevio Biner;Suiza;44;17/08/2006
Lateral izquierdo;Nias Hefti;Suiza;20;18/09/1999
Lateral izquierdo;Marquinhos Cipriano;Brasil;6;09/02/1999
Lateral derecho;Numa Lavanchy;Suiza;14;25/08/1993
Pivote;Ali Kabacalman ;Suiza;88;27/09/1995
Pivote;Lamine Diack;Senegal;25;15/11/2000
Mediocentro;Baltazar;Brasil;8;06/05/2000
Mediocentro;Liam Chipperfield;Suiza;21;14/02/2004
Interior derecho;Donat Rrudhani ;Kosovo;77;02/05/1999
Interior izquierdo;Benjamin Kololli;Kosovo;70;15/05/1992
Extremo izquierdo;Ilyas Chouaref;Malta;7;12/12/2000
Extremo izquierdo;Franck Surdez;Suiza;19;05/05/2002
Extremo izquierdo;Josias Lukembila;Suiza;39;09/09/1999
Extremo derecho;Théo Berdayes;Suiza;29;23/05/2002
Extremo derecho;Altin Shala ;Kosovo;23;18/12/2002
Delantero centro;Rilind Nivokazi;Kosovo;33;26/01/2000
Delantero centro;Winsley Boteli;Suiza;13;05/07/2006
Delantero centro;Adrien Llukes;Suiza;22;21/07/2008
Delantero centro;Dejan Djokic;Suiza;-;26/09/2000
