pos;name;pais;num;edad
Portero;Lawrence Ati Zigi;Ghana;1;29/11/1996
Portero;Lukas Watkowiak;Alemania;25;06/03/1996
Portero;Bela Dumrath ;Alemania;35;18/11/2003
Portero;Yannick Bujard;Suiza;81;20/10/2003
Defensa central;Cyrill May;Suiza;72;06/02/2007
Defensa central;Jozo Stanic;Croacia;4;06/04/1999
Defensa central;Tom Gaal;Alemania;26;03/03/2001
Defensa central;Colin Kleine-Bekel;Alemania;3;24/01/2003
Defensa central;Pascal Büttiker ;Suiza;71;07/03/2006
Lateral izquierdo;Chima Okoroji;Alemania;36;19/04/1997
Lateral izquierdo;Tarik Seferovic;Suiza;68;31/12/2006
Lateral derecho;Hugo Vandermersch;Francia;28;05/05/1999
Pivote;Behar Neziri ;Alemania;6;06/01/2003
Pivote;Jordi Quintillà;España;8;25/10/1993
Pivote;Betim Fazliji;Kosovo;23;25/04/1999
Mediocentro;Mihailo Stevanovic;Serbia;64;04/01/2002
Interior derecho;Lukas Görtler ;Alemania;16;15/06/1994
Interior izquierdo;Christian Witzig;Suiza;7;09/01/2001
Mediocentro ofensivo;Carlo Boukhalfa;Alemania;11;03/05/1999
Mediocentro ofensivo;Corsin Konietzke;Suiza;63;21/06/2006
Mediocentro ofensivo;Lukas Daschner;Alemania;10;01/10/1998
Mediocentro ofensivo;Nino Weibel;Suiza;66;11/04/2007
Extremo izquierdo;Aliou Baldé;Guinea;14;12/12/2002
Extremo izquierdo;Kevin Csoboth;Hungría;27;20/06/2000
Extremo izquierdo;Tiemoko Ouattara;Suiza;77;25/05/2005
Extremo derecho;Malamine Efekele;Francia;21;19/07/2004
Extremo derecho;Enoch Owusu ;Italia;47;08/01/2005
Delantero centro;Alessandro Vogt;Suiza;18;03/02/2005
Delantero centro;Antonio Verinac;Croacia;19;27/12/2004
Delantero centro;Diego Besio;Suiza;69;23/06/2006
