pos;name;pais;num;edad
Portero;Niklas Steffen;Suiza;24;19/01/2001
Portero;Nino Ziswiler ;Suiza;1;23/10/1999
Portero;Tim Spycher;Suiza;25;13/04/2004
Portero;Jan Eicher;Suiza;30;16/02/2004
Defensa central;Genís Montolio;España;4;23/07/1996
Defensa central;Jan Bamert;Suiza;19;09/03/1998
Defensa central;Marco Bürki ;Suiza;23;10/07/1993
Lateral izquierdo;Michael Heule;Suiza;27;27/04/2001
Lateral izquierdo;Dominik Franke;Alemania;5;05/10/1998
Lateral izquierdo;Ashvin Balaruban;Suiza;17;08/08/2001
Lateral derecho;Fabio Fehr;Suiza;47;15/01/2000
Lateral derecho;Lucien Dähler;Suiza;37;22/03/2001
Pivote;Justin Roth;Suiza;16;29/10/2000
Pivote;Leonardo Bertone;Suiza;6;14/03/1994
Mediocentro;Franz-Ethan Meichtry;Suiza;77;08/07/2005
Mediocentro;Kastriot Imeri;Suiza;7;27/06/2000
Mediocentro;Mattias Käit;Estonia;14;29/06/1998
Mediocentro;Valmir Matoshi;Suiza;78;04/07/2003
Mediocentro;Vasilije Janjicic;Suiza;8;02/11/1998
Mediocentro;Noah Rupp;Suiza;20;13/08/2003
Mediocentro;Adam Ilic;Suiza;52;03/05/2008
Mediocentro ofensivo;Nils Reichmuth;Suiza;70;22/02/2002
Extremo derecho;Marc Gutbub;Suiza;33;04/02/2003
Delantero centro;Elmin Rastoder;Macedonia del Norte;74;07/10/2001
Delantero centro;Christopher Ibayi;Congo;18;18/07/1995
Delantero centro;Brighton Labeau;Martinica;96;01/01/1996
Delantero centro;Furkan Dursun;Austria;9;14/03/2005
