pos;name;pais;num;edad
Portero;Stefanos Kapino;Grecia;1;18/03/1994
Portero;Antonio Spagnoli;Suiza;75;31/05/2005
Portero;Noah Brogli;Suiza;30;28/05/2008
Defensa central;Loïc Lüthi;Suiza;21;30/09/2003
Defensa central;Remo Arnold ;Suiza;16;17/01/1997
Defensa central;Mirlind Kryeziu;Kosovo;31;26/01/1997
Defensa central;Tibault Citherlet;Suiza;33;05/03/2005
Defensa central;Lukas Mühl;Alemania;5;27/01/1997
Defensa central;Basil Stillhart ;Suiza;4;24/03/1994
Lateral izquierdo;Rhodri Smith;Suiza;3;09/09/2006
Lateral izquierdo;Souleymane Diaby ;Costa de Marfil;18;08/10/1999
Lateral derecho;Silvan Sidler;Suiza;24;07/07/1998
Lateral derecho;Dario Ulrich;Suiza;19;12/03/1998
Lateral derecho;Ledjan Sahitaj;Kosovo;26;12/01/2004
Pivote;Adrian Durrer;Suiza;22;13/07/2001
Mediocentro;Alexandre Jankewitz;Suiza;45;25/12/2001
Mediocentro;Emmanuel Essiam;Ghana;6;19/12/2003
Mediocentro;Stéphane Cueni;Cabo Verde;44;14/03/2001
Mediocentro;Pajtim Kasami;Suiza;23;02/06/1992
Mediocentro;Luca Zuffi;Suiza;7;27/03/1990
Interior derecho;Elias Maluvunu;Suiza;37;03/08/2004
Interior derecho;Fabian Rohner;Suiza;27;17/08/1998
Interior izquierdo;Carmine Chiappetta;Suiza;20;09/03/2003
Mediocentro ofensivo;Théo Golliard;Suiza;8;27/09/2002
Mediocentro ofensivo;Randy Schneider;Filipinas;10;27/08/2001
Extremo izquierdo;Nishan Burkart;Suiza;99;31/01/2000
Extremo izquierdo;Bafodé Dansoko ;Guinea;11;28/12/1995
Delantero centro;Andrin Hunziker;Suiza;17;21/02/2003
Delantero centro;Francis Momoh;Nigeria;14;25/03/2001
Delantero centro;Roman Buess;Suiza;9;21/09/1992
