pos;name;pais;num;edad
Portero;Yanick Brecher ;Suiza;25;25/05/1993
Portero;Silas Huber;Suiza;1;10/07/2005
Portero;Yevgen Morozov;Ucrania;12;15/02/2007
Defensa central;Lindrit Kamberi;Suiza;2;07/10/1999
Defensa central;Alexander Hack;Alemania;42;08/09/1993
Defensa central;Jorge Segura;Colombia;4;18/01/1997
Defensa central;Ilan Sauter;Suiza;27;06/02/2001
Defensa central;David Vujevic;Suiza;35;20/10/2006
Defensa central;Daniel Ihendu;Alemania;48;29/09/2005
Lateral izquierdo;Neil Volken ;Suiza;43;23/04/2007
Lateral derecho;Livano Comenencia ;Curazao;3;03/02/2004
Lateral derecho;Chris Kablan;Suiza;22;30/11/1994
Lateral derecho;Selmin Hodza;Suiza;32;24/05/2003
Pivote;Mohamed Bangoura;Guinea;18;18/02/2006
Pivote;Cosimo Fiorini;Italia;34;27/05/2006
Mediocentro;Cheveyo Tsawa;Suiza;6;09/12/2006
Mediocentro;Bledian Krasniqi;Kosovo;7;17/06/2001
Mediocentro;Nelson Palacio;Colombia;15;16/06/2001
Mediocentro;Valon Berisha;Kosovo;23;07/02/1993
Mediocentro;Miguel Reichmuth;Suiza;38;26/10/2003
Mediocentro;Jill Stiel ;Suiza;46;01/05/2008
Mediocentro ofensivo;Nevio Di Giusto;Suiza;14;18/03/2005
Extremo izquierdo;Matthias Phaëton ;Guadalupe;10;08/01/2000
Extremo izquierdo;Umeh Emmanuel;Nigeria;11;31/08/2004
Extremo izquierdo;Ivan Cavaleiro;Angola;8;18/10/1993
Delantero centro;Philippe Keny;Senegal;19;18/05/1999
Delantero centro;Juan José Perea;Colombia;9;23/02/2000
Delantero centro;Damienus Reverson;Países Bajos;29;18/10/2003
