pos;name;pais;num;edad
Portero;Justin Hammel;Suiza;71;02/12/2000
Portero;Nicolas Glaus;Suiza;1;10/05/2002
Portero;Laurent Seji;Kosovo;50;22/06/2004
Defensa central;Abdoulaye Diaby;Malí;15;04/07/2000
Defensa central;Dorian Paloschi ;Italia;73;21/11/2005
Defensa central;Mouhamed El Bachir Ngom;Senegal;20;12/05/2000
Defensa central;Dirk Abels;Países Bajos;2;13/06/1997
Defensa central;Luka Mikulic;Bosnia y Herzegovina;4;07/05/2005
Defensa central;Ismajl Beka;Kosovo;30;31/10/1999
Defensa central;Saulo Decarli ;Suiza;3;04/02/1992
Defensa central;Yannick Bettkober;Alemania;58;18/03/2005
Lateral izquierdo;Maximilian Ullmann;Austria;31;17/06/1996
Lateral derecho;Pantaleo Creti;Italia;22;22/07/2008
Lateral derecho;Allan Arigoni;Suiza;34;04/11/1998
Pivote;Tim Meyer;Suiza;8;08/07/2004
Pivote;Imourane Hassane;Benín;5;08/04/2003
Pivote;Sven Köhler;Alemania;27;08/11/1996
Pivote;Matteo Mantini;Italia;16;27/08/2007
Pivote;Amir Abrashi ;Albania;6;27/03/1990
Mediocentro;Leart Kabashi;Suiza;21;29/11/2007
Interior derecho;Samuel Marques;Suiza;52;04/02/2005
Interior izquierdo;Simone Stroscio;Suiza;28;20/08/2003
Interior izquierdo;Samuel Krasniqi;Suiza;54;03/01/2005
Mediocentro ofensivo;Jonathan Asp Jensen;Dinamarca;10;14/01/2006
Mediocentro ofensivo;Lovro Zvonarek ;Croacia;14;08/05/2005
Mediocentro ofensivo;Óscar Clemente;España;17;26/03/1999
Mediocentro ofensivo;Salifou Diarrassouba;Costa de Marfil;11;20/12/2001
Delantero centro;Luke Plange;Inglaterra;7;04/11/2002
Delantero centro;Michael Frey;Suiza;99;19/07/1994
Delantero centro;Young-jun Lee;Corea del Sur;18;23/05/2003
Delantero centro;Emmanuel Tsimba;Suiza;19;22/06/2006
