pos;name;pais;num;edad
Portero;Joël Mall;Chipre;1;05/04/1991
Portero;Jérémy Frick  ;Suiza;32;08/03/1993
Portero;Marwan Aubert;Suiza;40;12/02/2006
Defensa central;Dylan Bronn ;Túnez;25;19/06/1995
Defensa central;Yoan Severin;Francia;19;24/01/1997
Defensa central;Marco Burch;Suiza;15;19/10/2000
Defensa central;Steve Rouiller;Suiza;4;10/07/1990
Defensa central;Téo Allix;Francia;34;05/07/2004
Lateral izquierdo;Lilian Njoh;Francia;14;22/11/2001
Lateral izquierdo;Bradley Mazikou;Congo;18;02/06/1996
Lateral derecho;Loun Srdanovic ;Suiza;2;04/08/2006
Lateral derecho;Houboulang Mendes;Guinea-Bissau;17;04/05/1998
Pivote;Lamine Fomba;Francia;11;26/01/1998
Pivote;Gaël Ondoua;Camerún;5;04/11/1995
Pivote;David Douline;Francia;28;28/05/1993
Mediocentro;Timothé Cognat;Francia;8;25/01/1998
Interior derecho;Ablie Jallow;Gambia;30;14/11/1998
Interior derecho;Miroslav Stevanovic;Bosnia y Herzegovina;9;29/07/1990
Interior izquierdo;Malek Ishuayed;Suiza;38;16/03/2007
Mediocentro ofensivo;Giotto Morandi;Suiza;7;04/03/1999
Extremo izquierdo;Junior Kadile;Francia;10;16/12/2002
Extremo izquierdo;Mardochée Miguel;Suiza;39;22/05/2007
Delantero centro;Florian Ayé;Francia;97;19/01/1997
Delantero centro;Samuel Mráz;Eslovaquia;90;13/05/1997
Delantero centro;Jamie Atangana;Suiza;45;12/11/2007
Delantero centro;Jérémy Guillemenot;Suiza;21;06/01/1998
