pos;name;pais1;pais2;num;edad;team_name
Portero;Elías Ólafsson;Islandia;;16;11/03/2000;fc_midtjylland
Portero;Ovie Ejeheri;Inglaterra;Nigeria;30;23/04/2003;fc_midtjylland
Portero;Jonas Lössl;Dinamarca;;1;01/02/1989;fc_midtjylland
Portero;Mark Ugboh;Nigeria;;60;03/01/2004;fc_midtjylland
Portero;Liam Selin;Suecia;;31;13/03/2006;fc_midtjylland
Defensa central;Ousmane Diao;Senegal;;4;08/06/2004;fc_midtjylland
Defensa central;Mads Bech Sørensen;Dinamarca;;22;07/01/1999;fc_midtjylland
Defensa central;Martin Erlić;Croacia;;6;24/01/1998;fc_midtjylland
Defensa central;Han-beom Lee;Corea del Sur;;3;17/06/2002;fc_midtjylland
Defensa central;Bilal Konteh;Suecia;España;35;13/02/2007;fc_midtjylland
Lateral izquierdo;Victor Bak;Dinamarca;;55;03/10/2003;fc_midtjylland
Lateral izquierdo;Paulinho;Brasil;;29;03/01/1995;fc_midtjylland
Lateral derecho;Kevin Mbabu;Suiza;RD del Congo;43;19/04/1995;fc_midtjylland
Lateral derecho;Adam Gabriel;República Checa;;13;28/05/2001;fc_midtjylland
Mediocentro;Philip Billing;Dinamarca;Nigeria;8;11/06/1996;fc_midtjylland
Mediocentro;Denil Castillo;Ecuador;;21;24/03/2004;fc_midtjylland
Mediocentro;Pedro Bravo;Colombia;;19;26/11/2004;fc_midtjylland
Mediocentro;Valdemar Byskov;Dinamarca;;20;25/01/2005;fc_midtjylland
Mediocentro;Alamara Djabi;Guinea-Bissau;;33;28/09/2006;fc_midtjylland
Extremo izquierdo;Aral Şimşir;Turquía;Dinamarca;58;19/06/2002;fc_midtjylland
Extremo izquierdo;Mikel Gogorza;Dinamarca;Francia;41;27/09/2006;fc_midtjylland
Extremo izquierdo;Junior Zé;Suiza;Camerún;39;22/03/2006;fc_midtjylland
Extremo derecho;Darío Osorio;Chile;;11;24/01/2004;fc_midtjylland
Extremo derecho;Edward Chilufya;Zambia;;14;17/09/1999;fc_midtjylland
Delantero centro;Franculino;Guinea-Bissau;Portugal;7;28/06/2004;fc_midtjylland
Delantero centro;Gue-sung Cho;Corea del Sur;;10;25/01/1998;fc_midtjylland
Delantero centro;Mikael Uhre;Dinamarca;;17;30/09/1994;fc_midtjylland
Delantero centro;Júnior Brumado;Brasil;;74;15/05/1999;fc_midtjylland
Portero;Dominik Kotarski;Croacia;;1;10/02/2000;fc_kopenhagen
