pos;name;pais;num;edad
Portero;Vincent Müller;Alemania;1;23/08/2000
Portero;Rody de Boer;Países Bajos;22;22/08/1997
Portero;Bertil Grønkjær;Dinamarca;40;24/07/2007
Defensa central;Elison Makolli;Suecia;33;10/01/2005
Defensa central;Nóel Atli Arnórsson;Islandia;24;30/09/2006
Defensa central;Benjamin Tiedemann ;Dinamarca;4;07/02/1994
Defensa central;Bjarne Pudel ;Alemania;13;09/05/2001
Defensa central;Cornelius Olsson;Dinamarca;15;27/02/2006
Lateral izquierdo;Marc Nielsen;Dinamarca;5;16/05/2001
Lateral izquierdo;Eugene Amankwah;Ghana;35;30/11/2004
Lateral derecho;Mikkel Kallesøe;Dinamarca;2;20/04/1997
Lateral derecho;Adam Andersson;Suecia;3;11/11/1996
Lateral derecho;Christian Tcacenco;Moldavia;32;16/05/2007
Pivote;Marcus Bonde;Dinamarca;26;11/02/2007
Mediocentro;Markus Kaasa;Noruega;23;15/07/1997
Mediocentro;Alexander Håpnes;Noruega;8;26/08/2001
Mediocentro;Andreas Maarup;Dinamarca;18;23/05/1999
Mediocentro;Valdemar Møller;Dinamarca;28;20/05/2007
Extremo izquierdo;Kornelius Normann;Noruega;11;06/05/2001
Extremo izquierdo;Jubril Adedeji;Inglaterra;7;25/05/2000
Extremo izquierdo;Mathias Kubel;Dinamarca;14;19/12/2001
Extremo izquierdo;Amar Diagne;Dinamarca;37;02/01/2006
Extremo derecho;Andres Jasson;Estados Unidos;17;17/01/2002
Extremo derecho;Frederik Børsting;Dinamarca;25;13/02/1995
Delantero centro;Kelvin John;Tanzania;27;10/06/2003
Delantero centro;Nicklas Helenius;Dinamarca;9;08/05/1991
