pos;name;pais;num;edad
Portero;Jonathan Ægidius;Dinamarca;1;22/04/2002
Portero;Oskar Snorre;Dinamarca;21;26/01/1999
Portero;Anton Mayland;Dinamarca;31;26/10/2006
Defensa central;Tobias Storm ;Dinamarca;24;04/07/2004
Defensa central;Mihajlo Ivančević;Serbia;5;07/04/1999
Defensa central;Mikkel Fischer;Dinamarca;30;23/03/2004
Defensa central;Neil Pierre;Estados Unidos;12;19/10/2007
Lateral izquierdo;Django Warmerdam;Países Bajos;3;02/09/1995
Lateral izquierdo;Nicklas Mouritsen;Dinamarca;15;15/03/1995
Lateral izquierdo;Renzo Tytens;Bélgica;25;23/06/2005
Lateral derecho;Oskar Buur;Dinamarca;2;31/03/1998
Mediocentro;Casper Winther;Dinamarca;13;11/02/2003
Mediocentro;Lauge Sandgrav;Dinamarca;14;16/09/2004
Mediocentro;Gustav Fraulo;Dinamarca;19;23/04/2005
Mediocentro;Jens Jakob Thomasen;Dinamarca;18;25/06/1996
Mediocentro;Mathias Hebo ;Dinamarca;8;02/08/1995
Mediocentro;William Steindorsson ;Dinamarca;17;21/04/2005
Mediocentro;Bror Blume;Dinamarca;6;22/01/1992
Mediocentro;Mathias Kaarsbo;Dinamarca;20;13/02/2006
Mediocentro ofensivo;Simon Colyn;Canadá;7;23/03/2002
Extremo derecho;Magnus Warming;Dinamarca;11;08/06/2000
Delantero centro;Ísak Snær Thorvaldsson;Islandia;10;01/05/2001
Delantero centro;Asbjørn Bøndergaard;Dinamarca;16;05/05/2004
Delantero centro;Malik Abubakari ;Ghana;9;10/05/2000
Delantero centro;Frederik Gytkjaer;Dinamarca;26;16/03/1993
