pos;name;pais;num;edad
Portero;Mads Hedenstad;Noruega;21;21/10/2000
Portero;Jesper Hansen;Dinamarca;1;31/03/1985
Defensa central;Eric Kahl;Suecia;19;27/09/2001
Defensa central;Jonas Jensen-Abbew;Dinamarca;40;20/04/2002
Defensa central;Tobias Mölgaard;Dinamarca;14;22/07/1996
Defensa central;Frederik Tingager;Dinamarca;5;22/02/1993
Defensa central;Henrik Dalsgaard;Dinamarca;3;27/07/1989
Mediocentro;Magnus Knudsen;Noruega;4;15/06/2001
Mediocentro;Markus Solbakken;Noruega;7;25/07/2000
Mediocentro;Kevin Yakob;Irak;17;10/10/2000
Mediocentro;Nicolai Poulsen;Dinamarca;6;15/08/1993
Interior derecho;Felix Beijmo;Suecia;2;31/01/1998
Interior derecho;Rasmus Carstensen;Dinamarca;29;10/11/2000
Interior derecho;Jacob Andersen;Dinamarca;26;26/01/2004
Interior izquierdo;Gift Links;Sudáfrica;11;02/10/1998
Extremo izquierdo;Kristian Arnstad;Noruega;10;07/09/2003
Extremo izquierdo;Frederik Emmery;Dinamarca;39;25/12/2006
Extremo izquierdo;Tómas Óli Kristjánsson;Islandia;20;27/02/2008
Extremo derecho;Tobias Bech;Dinamarca;31;19/02/2002
Extremo derecho;Sebastian Jørgensen;Dinamarca;8;08/06/2000
Delantero centro;Janni Serra;Alemania;13;13/03/1998
Delantero centro;Patrick Mortensen ;Dinamarca;9;13/07/1989
Delantero centro;Stefen Tchamche;Dinamarca;27;08/01/2006
