pos;name;pais;num;edad
Portero;Patrick Pentz;Austria;1;02/01/1997
Portero;Gavin Beavers;Estados Unidos;13;29/04/2005
Portero;Thomas Mikkelsen;Dinamarca;16;27/08/1983
Portero;William Sonne-Schmidt;Dinamarca;50;12/04/2007
Defensa central;Ben Godfrey;Inglaterra;14;15/01/1998
Defensa central;Luis Binks;Inglaterra;4;02/09/2001
Defensa central;Frederik Alves ;Dinamarca;32;08/11/1999
Defensa central;Rasmus Lauritsen;Dinamarca;5;27/02/1996
Defensa central;Jordi Vanlerberghe;Bélgica;30;27/06/1996
Lateral izquierdo;Mats Köhlert;Alemania;27;02/05/1998
Lateral izquierdo;Marko Divković;Croacia;24;11/06/1999
Lateral derecho;Sean Klaiber ;Surinam;31;31/07/1994
Lateral derecho;Oliver Villadsen;Dinamarca;2;16/11/2001
Pivote;Bartosz Slisz;Polonia;99;29/03/1999
Mediocentro;Benjamin Tahirović;Bosnia y Herzegovina;8;03/03/2003
Mediocentro;Mathias Jensen;Dinamarca;42;14/04/2005
Mediocentro;Daniel Wass ;Dinamarca;10;31/05/1989
Mediocentro ofensivo;Mads Frøkjær;Dinamarca;29;29/07/1999
Extremo izquierdo;Nicolai Vallys;Dinamarca;7;04/09/1996
Extremo derecho;Mayckel Lahdo;Suecia;23;30/12/2002
Extremo derecho;Ousmane Sow;Francia;22;05/07/2000
Extremo derecho;Sho Fukuda;Japón;19;23/03/2001
Delantero centro;Filip Bundgaard ;Dinamarca;11;03/07/2004
Delantero centro;Emmanuel Dennis;Nigeria;17;15/11/1997
Delantero centro;Jacob Ambæk;Dinamarca;38;28/03/2008
