pos;name;pais;num;edad
Portero;Valdemar Birksø;Dinamarca;90;17/03/2001
Portero;Etienne Green;Inglaterra;42;19/07/2000
Portero;Mads Eriksen;Dinamarca;23;30/10/2003
Defensa central;Frederik Rieper ;Dinamarca;5;19/06/1999
Defensa central;Jeppe Kudsk;Dinamarca;4;25/02/2003
Defensa central;Adam Nygaard;Dinamarca;3;23/09/2005
Defensa central;Malthe Ladefoged;Dinamarca;15;14/12/2005
Lateral izquierdo;Jakob Jessen;Dinamarca;8;05/03/2004
Lateral izquierdo;Daníel Freyr Kristjánsson;Islandia;17;30/08/2005
Lateral izquierdo;Kristian Pedersen;Dinamarca;24;04/08/1994
Lateral derecho;Anders Dahl;Dinamarca;14;01/05/2002
Lateral derecho;Svenn Crone;Dinamarca;12;20/05/1995
Pivote;Andreas Pyndt;Dinamarca;18;04/03/2001
Mediocentro;Felix Winther;Dinamarca;6;18/05/2000
Mediocentro;Jonatan Lindekilde;Dinamarca;21;31/03/2006
Mediocentro;Moses Opondo;Uganda;11;28/10/1997
Mediocentro;Sofus Johannesen;Dinamarca;16;04/05/2007
Mediocentro;Daniel Haarbo;Dinamarca;20;14/03/2003
Mediocentro ofensivo;William Madsen;Dinamarca;13;05/04/2002
Mediocentro ofensivo;Emilio Simonsen;Dinamarca;10;31/10/1999
Extremo izquierdo;Gustav Marcussen;Dinamarca;7;12/06/1998
Extremo izquierdo;Agon Mucolli;Albania;98;26/09/1998
Extremo derecho;Oscar Buch;Dinamarca;97;14/02/1997
Delantero centro;Friday Etim;Nigeria;25;21/05/2002
Delantero centro;Patrick Egelund;Dinamarca;9;02/08/2000
Delantero centro;Eskild Dall;Dinamarca;19;08/01/2003
Delantero centro;Elias Hansborg;Dinamarca;29;02/07/2005
