pos;name;pais;num;edad
Portero;Dominik Kotarski;Croacia;1;10/02/2000
Portero;Rúnar Alex Rúnarsson;Islandia;31;18/02/1995
Portero;Oscar Buur;Dinamarca;61;29/10/2006
Defensa central;Gabriel Pereira;Brasil;5;07/05/2000
Defensa central;Pantelis Hatzidiakos;Grecia;6;18/01/1997
Defensa central;Junnosuke Suzuki ;Japón;20;12/07/2003
Defensa central;Zanka;Dinamarca;25;23/04/1990
Lateral izquierdo;Marcos López;Perú;15;20/11/1999
Lateral izquierdo;Birger Meling;Noruega;24;17/12/1994
Lateral derecho;Rodrigo Huescas ;México;13;18/09/2003
Lateral derecho;Aurélio Buta;Portugal;17;10/02/1997
Lateral derecho;Kenay Myrie;Costa Rica;18;06/09/2006
Pivote;William Clem;Dinamarca;36;20/06/2004
Mediocentro;Amir Richardson;Marruecos;23;24/01/2002
Mediocentro;Magnus Mattsson ;Dinamarca;8;25/02/1999
Mediocentro;Mads Emil Madsen;Dinamarca;21;14/01/1998
Mediocentro;Thomas Delaney;Dinamarca;27;03/09/1991
Mediocentro;Oliver Højer;Dinamarca;38;24/01/2007
Mediocentro;Jonathan Moalem;Dinamarca;29;01/02/2007
Extremo izquierdo;Elias Achouri ;Túnez;30;10/02/1999
Extremo izquierdo;Robert;Brasil;16;13/04/2005
Extremo derecho;Jordan Larsson;Suecia;11;20/06/1997
Extremo derecho;Liam West;Noruega;26;16/12/2007
Mediapunta;Mohamed Elyounoussi;Noruega;10;04/08/1994
Delantero centro;Youssoufa Moukoko;Alemania;9;20/11/2004
Delantero centro;Viktor Dadason;Islandia;39;30/06/2008
Delantero centro;Viktor Claesson ;Suecia;7;02/01/1992
Delantero centro;Andreas Cornelius ;Dinamarca;14;16/03/1993
