pos;name;pais;num;edad
Portero;Elías Ólafsson;Islandia;16;11/03/2000
Portero;Ovie Ejeheri;Inglaterra;30;23/04/2003
Portero;Jonas Lössl;Dinamarca;1;01/02/1989
Portero;Mark Ugboh;Nigeria;60;03/01/2004
Portero;Liam Selin;Suecia;31;13/03/2006
Defensa central;Ousmane Diao;Senegal;4;08/06/2004
Defensa central;Mads Bech Sørensen ;Dinamarca;22;07/01/1999
Defensa central;Martin Erlić;Croacia;6;24/01/1998
Defensa central;Han-beom Lee;Corea del Sur;3;17/06/2002
Defensa central;Bilal Konteh;Suecia;35;13/02/2007
Lateral izquierdo;Victor Bak;Dinamarca;55;03/10/2003
Lateral izquierdo;Paulinho;Brasil;29;03/01/1995
Lateral derecho;Kevin Mbabu;Suiza;43;19/04/1995
Lateral derecho;Adam Gabriel;República Checa;13;28/05/2001
Mediocentro;Philip Billing;Dinamarca;8;11/06/1996
Mediocentro;Denil Castillo;Ecuador;21;24/03/2004
Mediocentro;Pedro Bravo;Colombia;19;26/11/2004
Mediocentro;Valdemar Byskov;Dinamarca;20;25/01/2005
Mediocentro;Alamara Djabi;Guinea-Bissau;33;28/09/2006
Extremo izquierdo;Aral Şimşir;Turquía;58;19/06/2002
Extremo izquierdo;Mikel Gogorza ;Dinamarca;41;27/09/2006
Extremo izquierdo;Junior Zé;Suiza;39;22/03/2006
Extremo derecho;Darío Osorio;Chile;11;24/01/2004
Extremo derecho;Edward Chilufya;Zambia;14;17/09/1999
Delantero centro;Franculino ;Guinea-Bissau;7;28/06/2004
Delantero centro;Gue-sung Cho;Corea del Sur;10;25/01/1998
Delantero centro;Mikael Uhre;Dinamarca;17;30/09/1994
Delantero centro;Ola Brynhildsen  ;Noruega;9;27/04/1999
Delantero centro;Júnior Brumado;Brasil;74;15/05/1999
