pos;name;pais;num;edad
Portero;Andreas Hansen;Dinamarca;13;11/08/1995
Portero;Jakob Busk ;Dinamarca;16;12/09/1993
Portero;Andreas Gülstorff;Dinamarca;22;26/01/2003
Defensa central;Noah Markmann;Dinamarca;45;24/02/2007
Defensa central;Tobias Salquist;Dinamarca;3;18/05/1995
Defensa central;Stephen Acquah;Ghana;34;01/05/2006
Defensa central;Markus Walker;Dinamarca;28;23/11/2006
Lateral izquierdo;Juho Lähteenmäki;Finlandia;25;15/06/2006
Lateral izquierdo;Runar Norheim;Noruega;23;14/02/2005
Lateral izquierdo;Issaka Seidu;Ghana;30;05/06/2006
Lateral derecho;Peter Ankersen;Dinamarca;2;22/09/1990
Lateral derecho;Victor Gustafsen;Dinamarca;32;14/11/2007
Pivote;Mark Brink ;Dinamarca;6;15/03/1998
Pivote;Justin Janssen;Dinamarca;18;25/07/2006
Pivote;Malte Heyde;Dinamarca;47;18/02/2007
Mediocentro;Caleb Yirenkyi;Ghana;36;15/01/2006
Mediocentro;Nicklas Røjkjær;Dinamarca;8;24/07/1998
Mediocentro;Villum Berthelsen;Dinamarca;29;14/04/2006
Mediocentro;Araphat Mohammed;Ghana;20;06/11/2005
Mediocentro;Diallo Sanoussi;Costa de Marfil;27;29/05/2006
Mediocentro;Lamine Sadio;Senegal;37;24/12/2007
Extremo izquierdo;Prince Amoako Junior;Ghana;10;19/02/2007
Extremo izquierdo;Ibrahim Adel;Egipto;14;23/04/2001
Extremo izquierdo;Daniel Jóhannesson;Islandia;39;03/04/2007
Extremo derecho;Ola Solbakken;Noruega;9;07/09/1998
Extremo derecho;Hjalte Boe Rasmussen;Dinamarca;40;15/10/2007
Delantero centro;Alexander Lind;Dinamarca;11;26/06/2002
Delantero centro;Levy Nene;Costa de Marfil;17;17/03/2006
Delantero centro;Souleymane Alio;Burkina Faso;33;28/10/2006
