pos;name;pais;num;edad
Portero;Theo Sander;Dinamarca;30;08/01/2005
Portero;Viljar Myhra;Noruega;16;21/07/1996
Portero;Martin Hansen;Dinamarca;1;15/06/1990
Portero;Marcus Eskildsen;Dinamarca;27;03/12/2007
Defensa central;James Gomez;Gambia;29;14/11/2001
Defensa central;Julius Berthel Askou;Dinamarca;13;27/05/2006
Defensa central;Yaya Bojang;Gambia;24;10/09/2004
Defensa central;Nicolas Bürgy;Suiza;5;07/08/1995
Defensa central;Bjørn Paulsen;Dinamarca;4;02/07/1991
Lateral izquierdo;Adam Sørensen;Dinamarca;3;11/11/2000
Lateral izquierdo;Marcus McCoy;Dinamarca;15;24/08/2005
Lateral derecho;Leeroy Owusu;Ghana;20;13/08/1996
Lateral derecho;Magnus Andersen;Dinamarca;28;03/04/2006
Pivote;Ismahila Ouédraogo;Burkina Faso;22;05/11/1999
Pivote;Tom Trybull;Alemania;19;09/03/1993
Pivote;Vitus Friis;Dinamarca;21;31/03/2007
Mediocentro;Max Ejdum;Dinamarca;18;15/10/2004
Mediocentro;Anssi Suhonen;Finlandia;10;14/01/2001
Mediocentro;Gustav Grubbe;Dinamarca;14;27/01/2003
Mediocentro;Rasmus Falk ;Dinamarca;8;15/01/1992
Mediocentro;Jakob Bonde;Dinamarca;6;29/12/1993
Mediocentro ofensivo;Fiete Arp;Alemania;7;06/01/2000
Extremo izquierdo;William Martin;Dinamarca;23;23/04/2007
Extremo izquierdo;Mads Abrahamsen;Dinamarca;25;13/01/2007
Delantero centro;Noah Ganaus;Alemania;17;19/01/2001
Delantero centro;Jay-Roy Grot;Surinam;31;13/03/1998
Delantero centro;Jona Niemiec;Alemania;11;19/09/2001
Delantero centro;Lasse Legolas;Dinamarca;26;08/02/2007
