pos;name;pais;num;edad
Portero;Paul Izzo;Australia;1;06/01/1995
Portero;Jannich Storch;Dinamarca;32;12/05/1993
Portero;Mert Demirci;Países Bajos;22;23/10/2003
Defensa central;Wessel Dammers ;Países Bajos;4;01/03/1995
Defensa central;Lucas Lissens;Bélgica;2;25/07/2001
Defensa central;Oliver Jones;Australia;5;06/02/2003
Defensa central;Daniel Høegh;Dinamarca;3;06/01/1991
Lateral izquierdo;Nikolas Dyhr;Dinamarca;44;18/06/2001
Lateral izquierdo;Martin Sjølstad;Noruega;15;09/07/2000
Lateral derecho;Sabil Hansen;Dinamarca;24;04/11/2005
Lateral derecho;Benjamin Örn;Suecia;23;26/04/2004
Pivote;André Römer;Dinamarca;28;18/07/1993
Mediocentro;John Björkengren;Suecia;6;09/12/1998
Mediocentro;Laurits Pedersen;Dinamarca;8;25/01/2006
Mediocentro;Frederik Lauenborg;Dinamarca;14;18/05/1997
Mediocentro;Ousseynou Fall Seck;Senegal;25;22/06/2007
Mediocentro;Max Albæk;Dinamarca;38;19/02/2006
Mediocentro ofensivo;Mike Themsen;Dinamarca;7;10/03/2006
Extremo izquierdo;Noah Shamoun;Siria;18;08/12/2002
Extremo izquierdo;Ernest Agyiri;Ghana;21;06/03/1998
Extremo izquierdo;Cyril Edudzi;Ghana;33;15/01/2006
Extremo derecho;Mathias Greve;Dinamarca;17;11/02/1995
Extremo derecho;Elies Mahmoud;Francia;11;10/02/2001
Delantero centro;Thibault Klidjé;Togo;30;10/07/2001
Delantero centro;Warren Caddy;Madagascar;10;09/04/1997
Delantero centro;Amin Al-Hamawi;Irak;9;17/12/2003
Delantero centro;Musa Touré;Australia;19;12/11/2005
