pos;name;pais;num;edad
Portero;Aske Andrésen;Dinamarca;30;12/07/2005
Portero;Nicolai Larsen ;Dinamarca;1;09/03/1991
Portero;Bastian Holm;Dinamarca;16;13/02/2004
Defensa central;Robin Østrøm;Noruega;3;09/08/2002
Defensa central;Pedro Ganchas;Portugal;4;31/05/2000
Defensa central;Alexander Busch ;Dinamarca;40;25/07/2003
Defensa central;Pontus Rödin;Suecia;25;16/08/2000
Defensa central;Melker Jonsson;Suecia;15;10/07/2002
Defensa central;Alexander Priesborg;Dinamarca;24;14/05/2005
Lateral izquierdo;Andreas Poulsen;Dinamarca;2;13/10/1999
Lateral derecho;Jens Martin Gammelby;Dinamarca;19;05/02/1995
Lateral derecho;Simon Stüker;Dinamarca;28;23/04/2007
Pivote;Mikkel Øxenberg;Dinamarca;26;25/01/2007
Mediocentro;Mads Larsen;Dinamarca;20;20/09/2001
Mediocentro;Mads Freundlich ;Dinamarca;33;25/03/2003
Mediocentro;Julius Lorents;Dinamarca;36;26/04/2006
Mediocentro;Villads Westh;Dinamarca;7;25/04/2004
Mediocentro;Adam Wikman;Suecia;6;15/12/2003
Mediocentro;Sofus Berger;Dinamarca;14;02/06/2003
Mediocentro ofensivo;Callum McCowatt;Nueva Zelanda;17;30/04/1999
Mediocentro ofensivo;Younes Bakiz;Dinamarca;10;05/02/1999
Mediocentro ofensivo;Rami Al Hajj;Suecia;22;17/09/2001
Mediocentro ofensivo;Jeppe Andersen;Dinamarca;8;06/12/1992
Extremo izquierdo;Oliver Ross;Dinamarca;11;10/10/2004
Delantero centro;Tonni Adamsen;Dinamarca;23;15/11/1994
Delantero centro;Alexander Simmelhack;Dinamarca;9;11/11/2005
