pos;name;pais;num;edad
Portero;Marcus Bundgaard;Dinamarca;16;05/08/2001
Portero;Nicolai Flø;Dinamarca;1;25/09/1995
Defensa central;Maxime Soulas;Francia;12;19/05/1999
Defensa central;Magnus Jensen;Dinamarca;5;27/10/1996
Defensa central;Daníel Leó Grétarsson;Islandia;4;02/10/1995
Defensa central;Pachanga Kristensen;Dinamarca;19;07/12/2006
Lateral izquierdo;Rúnar Thór Sigurgeirsson;Islandia;21;28/12/1999
Lateral izquierdo;Ebube Duru;Nigeria;23;31/07/1999
Lateral izquierdo;Dalton Wilkins;Nueva Zelanda;13;15/04/1999
Lateral derecho;Tobias Klysner;Dinamarca;20;03/07/2001
Lateral derecho;Andreas Oggesen;Dinamarca;22;18/03/1994
Lateral derecho;Simon Wæver;Dinamarca;3;21/01/1996
Pivote;Tobias Sommer;Dinamarca;26;27/11/2001
Pivote;Rasmus Vinderslev ;Dinamarca;6;12/08/1997
Mediocentro;Sefer Emini;Macedonia del Norte;7;15/07/2000
Mediocentro;Mohamed Cherif Haidara;Guinea;31;02/10/2005
Mediocentro;Anders Bergholt;Dinamarca;28;21/02/2005
Mediocentro;Anders Hoeg;Dinamarca;17;27/03/2006
Extremo izquierdo;Olti Hyseni;Dinamarca;24;17/07/2007
Extremo izquierdo;Alexander Lyng;Dinamarca;11;26/11/2004
Extremo izquierdo;Albert Rrahmani;Kosovo;29;11/03/2007
Extremo derecho;Lirim Qamili;Macedonia del Norte;15;04/06/1998
Delantero centro;Matthew Hoppe;Estados Unidos;9;13/03/2001
