pos;name;pais;num;edad
Portero;Igor Vekic;Eslovenia;1;06/05/1998
Portero;Tobias Haahr;Dinamarca;24;03/07/2003
Portero;Gustav Knudsen;Dinamarca;33;10/07/2006
Defensa central;Valdemar Lund;Dinamarca;5;28/05/2003
Defensa central;Stefan Velkov;Bulgaria;13;12/12/1996
Defensa central;Damian van Bruggen ;Países Bajos;14;18/03/1996
Defensa central;Luka Latsabidze;Georgia;15;18/03/2004
Defensa central;Lasse Nielsen ;Dinamarca;4;08/01/1988
Lateral izquierdo;Giorgi Tabatadze;Georgia;21;29/10/2005
Lateral izquierdo;Christian Sørensen;Dinamarca;3;06/08/1992
Lateral derecho;Thomas Gundelund;Dinamarca;2;06/11/2001
Lateral derecho;Lasse Flø;Dinamarca;23;15/10/2005
Pivote;Lundrim Hetemi ;Albania;34;18/02/2000
Pivote;Mike Vestergård;Dinamarca;6;19/11/1997
Mediocentro;Mads Enggård;Dinamarca;30;20/01/2004
Mediocentro;Tobias Lauritsen;Dinamarca;8;18/06/2004
Mediocentro;Andrew Hjulsager;Dinamarca;17;15/01/1995
Mediocentro;Sander Ravn;Dinamarca;26;08/04/2007
Mediocentro;Clemens Astrup;Dinamarca;27;12/01/2006
Extremo izquierdo;Tobias Bach;Dinamarca;16;04/06/2003
Extremo izquierdo;Jonathan Amon;Estados Unidos;11;30/04/1999
Extremo izquierdo;Mikkel Duelund;Dinamarca;10;29/06/1997
Extremo izquierdo;Alexi Pitu;Alemania;80;05/06/2002
Extremo izquierdo;Abdoulaye Camara;Guinea;20;21/12/2006
Extremo derecho;Christian Gammelgaard;Dinamarca;7;10/03/2003
Delantero centro;Wahid Faghir ;Dinamarca;19;29/07/2003
Delantero centro;Bismark Edjeodji;Ghana;32;24/04/2007
Delantero centro;Jelle Duin;Países Bajos;9;27/01/1999
Delantero centro;Anders Jacobsen;Dinamarca;18;27/10/1989
Delantero centro;Ransford Amoo;Ghana;28;20/01/2008
