pos;name;pais;num;edad
Portero;Lucas Lund;Dinamarca;1;19/03/2000
Portero;Filip Djukic;Montenegro;16;06/08/1999
Defensa central;Daniel Anyembe;Kenia;24;22/07/1998
Defensa central;Stipe Radic;Croacia;55;10/06/2000
Defensa central;Zan Zaletel;Eslovenia;5;16/09/1999
Defensa central;Lukas Kirkegaard;Dinamarca;32;31/08/2005
Lateral izquierdo;Srdjan Kuzmic;Eslovenia;30;16/01/2004
Lateral izquierdo;Oliver Bundgaard;Dinamarca;23;15/06/2001
Lateral derecho;Jean Manuel Mbom;Alemania;18;24/02/2000
Lateral derecho;Hjalte Bidstrup;Dinamarca;26;15/02/2006
Lateral derecho;Mikkel Løndal;Dinamarca;31;31/05/2006
Pivote;Mees Hoedemakers;Países Bajos;4;18/02/1998
Pivote;Jeppe Grønning ;Dinamarca;13;24/05/1991
Mediocentro;Thomas Jørgensen;Dinamarca;10;30/09/2005
Mediocentro;Mads Søndergaard;Dinamarca;6;26/12/2002
Mediocentro;Asker Beck;Dinamarca;8;07/07/2003
Mediocentro;Frederik Damkjer;Dinamarca;33;31/07/2007
Extremo izquierdo;Charly Nouck ;Dinamarca;11;21/03/2004
Extremo izquierdo;Sami Jalal;Dinamarca;29;08/08/2004
Extremo izquierdo;Ísak Andri Sigurgeirsson;Islandia;14;11/09/2003
Extremo izquierdo;Yonis Njoh;Francia;7;17/01/2004
Extremo izquierdo;Osman Addo;Dinamarca;17;31/03/2004
Extremo derecho;Bilal Brahimi;Francia;21;28/03/2000
Delantero centro;Tim Freriks;Países Bajos;9;02/10/1998
Delantero centro;Dorian Hanza;Guinea Ecuatorial;19;12/05/2001
