pos;name;pais;num;edad
Portero;Fran González;España;1;24/06/2005
Portero;Sergio Mestre;España;25;13/02/2005
Portero;Guille Súnico;España;13;09/01/2004
Defensa central;Víctor Valdepeñas ;España;3;20/10/2006
Defensa central;Joan Martínez ;España;15;20/08/2007
Defensa central;Diego Aguado;España;21;07/02/2007
Defensa central;Lamini Fati;España;23;18/04/2006
Defensa central;Mario Rivas;España;4;16/03/2007
Defensa central;Álvaro Lezcano;España;34;02/03/2008
Lateral izquierdo;Manu Serrano;España;5;20/03/2004
Lateral izquierdo;Liberto Navascués;España;32;15/03/2007
Lateral derecho;David Jiménez;España;2;14/03/2004
Lateral derecho;Jesús Fortea;España;17;26/03/2007
Pivote;Cristian Perea;España;6;17/08/2005
Mediocentro;Jorge Cestero;España;14;24/03/2006
Mediocentro;Thiago Pitarch;España;16;03/08/2007
Mediocentro;Manuel Ángel ;España;8;15/03/2004
Mediocentro;Roberto Martín;España;28;12/08/2006
Mediocentro;Daniel Mesonero;España;30;03/09/2005
Mediocentro ofensivo;César Palacios;España;10;11/11/2004
Mediocentro ofensivo;Pol Fortuny;España;20;11/03/2005
Mediocentro ofensivo;Bruno Iglesias;España;11;01/05/2003
Mediocentro ofensivo;Gabri Castrelo;España;33;04/08/2006
Extremo izquierdo;Hugo de Llanos;España;22;18/03/2005
Extremo derecho;Daniel Yáñez;España;7;28/03/2007
Mediapunta;Álvaro Leiva;España;39;28/12/2004
Delantero centro;Rachad Fettal;España;18;16/01/2005
Delantero centro;Adrián Arnu;España;49;04/03/2007
Delantero centro;Loren Zúñiga;Guinea Ecuatorial;9;18/01/2003
Portero;Dani Martín;España;1;08/07/1998
Portero;Gabriel De Vuyst;España;13;06/07/2004
Defensa central;Antal Yaakobishvili;Hungría;5;12/07/2004
Defensa central;Anthony Landázuri;Ecuador;12;19/04/1997
Defensa central;José León;España;4;03/02/1995
Defensa central;Facundo Agüero;Argentina;3;21/01/1995
Lateral izquierdo;Marc Mateu;España;21;16/06/1990
Lateral derecho;David Rodríguez;España;2;26/06/2000
Lateral derecho;César Álvarez;España;19;15/04/2003
Mediocentro;Javi Pérez;España;8;14/08/1995
Mediocentro;Juanjo Sánchez;España;6;22/03/2000
Mediocentro;Fabricio;Brasil;15;27/01/1998
Mediocentro;Aitor Sanz ;España;16;13/09/1984
Mediocentro;Alberto Ulloa;España;27;30/09/2003
Mediocentro ofensivo;Maikel Mesa;España;11;04/06/1991
Mediocentro ofensivo;Dani Fernández;España;29;26/01/2008
Mediocentro ofensivo;Cris Montes;España;7;10/08/1997
Extremo izquierdo;Nacho Gil;España;10;09/09/1995
Extremo izquierdo;Alassan Manjam;España;20;12/09/2002
Extremo izquierdo;Jeremy Jorge;España;23;09/02/2003
Extremo derecho;Iván Chapela;España;24;21/05/1999
Delantero centro;Jesús de Miguel;España;9;21/09/1996
Delantero centro;Gastón Valles;Uruguay;22;10/05/2001
Delantero centro;Mahamadou Baldé;España;17;01/01/2004
Delantero centro;Enric Gallego;España;18;12/09/1986
Delantero centro;Noel López;España;14;17/03/2003
Delantero centro;Fran Sabina;España;28;22/09/2003
Portero;Miquel Parera;España;1;18/05/1996
Portero;César Fernández;España;13;28/01/2004
Portero;Lucas Díaz;España;25;10/05/1996
Defensa central;Álex Zalaya;España;15;29/04/1998
Defensa central;Edgar Pujol;República Dominicana;3;07/08/2004
Defensa central;Markel Artetxe;España;4;23/03/1999
Defensa central;Chema Rodríguez;España;12;03/03/1992
Lateral izquierdo;Álvaro Ramón;España;17;06/04/2000
Lateral izquierdo;Saúl García;España;16;09/11/1994
Lateral derecho;Miguel Leal;España;2;01/02/1997
Lateral derecho;Alvaro Mardones;España;22;23/10/2005
Mediocentro;Fabio González;España;6;12/02/1997
Mediocentro;Ander Gorostidi;España;8;23/02/1996
Mediocentro;Sergio Tejera;España;14;28/05/1990
Mediocentro ofensivo;Pascu;España;10;02/04/2000
