pos;name;pais1;pais2;num;edad;team_name
Portero;Manu González;España;;31;18/04/2007;real_betis_sevilla_b
Portero;Germán García;España;;1;01/02/2004;real_betis_sevilla_b
Portero;Vlad Rafailă;Rumania;;13;17/02/2005;real_betis_sevilla_b
Defensa central;Elyaz Zidane;Francia;España;4;26/12/2005;real_betis_sevilla_b
Defensa central;Mohamed Hamdoune;Marruecos;;15;24/05/2004;real_betis_sevilla_b
Defensa central;Jorge Oreiro;España;;21;19/05/2006;real_betis_sevilla_b
Defensa central;Fabián Embalo;España;;12;05/05/2006;real_betis_sevilla_b
Defensa central;Jean Emmanuel N'Agoran;Costa de Marfil;;45;01/01/2007;real_betis_sevilla_b
Defensa central;Robson;Brasil;;-;29/09/2006;real_betis_sevilla_b
Lateral izquierdo;Darling Bladi;Francia;Costa de Marfil;23;11/06/2004;real_betis_sevilla_b
Lateral izquierdo;Ian Forns;España;;3;05/02/2004;real_betis_sevilla_b
Lateral izquierdo;Carlos de Roa;España;;32;10/07/2007;real_betis_sevilla_b
Lateral derecho;Pablo Busto;España;;2;25/09/2005;real_betis_sevilla_b
Lateral derecho;Òscar Masqué;España;;35;15/01/2007;real_betis_sevilla_b
Mediocentro;Ismael Barea;España;;5;16/07/2005;real_betis_sevilla_b
Mediocentro;Aitor Gismera;España;;20;21/02/2004;real_betis_sevilla_b
Mediocentro;Ginés Sorroche;España;;16;24/03/2004;real_betis_sevilla_b
Mediocentro;Gnangoro Bouare;España;;18;13/06/2004;real_betis_sevilla_b
Mediocentro ofensivo;Dani Pérez;España;;8;26/07/2005;real_betis_sevilla_b
Mediocentro ofensivo;Carlos Reina;España;;10;10/08/2004;real_betis_sevilla_b
Mediocentro ofensivo;Adrián Martín;España;;29;10/05/2006;real_betis_sevilla_b
Mediocentro ofensivo;Iván Corralejo;España;;37;01/05/2007;real_betis_sevilla_b
Extremo izquierdo;Borja Alonso;España;;22;22/04/2004;real_betis_sevilla_b
Extremo izquierdo;Antonio Toral;España;;-;17/05/2003;real_betis_sevilla_b
Extremo izquierdo;Rafa Oya;España;;36;31/03/2008;real_betis_sevilla_b
Extremo derecho;Pablo García;España;;7;13/06/2006;real_betis_sevilla_b
Extremo derecho;José Antonio Morante;España;;27;28/06/2007;real_betis_sevilla_b
Extremo derecho;Kwame Sosu;Ghana;;14;18/03/2006;real_betis_sevilla_b
Extremo derecho;Rubén Richarte;España;;24;25/10/2006;real_betis_sevilla_b
Delantero centro;Rodrigo Marina;España;;17;28/07/2006;real_betis_sevilla_b
Delantero centro;Yanis Senhadji;España;Argelia;9;05/01/2005;real_betis_sevilla_b
Delantero centro;Jorge Luis;España;;19;23/04/2006;real_betis_sevilla_b
Portero;Salvi Esquivel;España;;13;30/09/2005;atletico_madrid_b
Portero;Mario de Luis;España;;1;06/05/2002;atletico_madrid_b
Portero;Luismi Morales;España;;33;14/10/2005;atletico_madrid_b
Defensa central;Aleksa Puric;Serbia;;15;07/07/2003;atletico_madrid_b
Defensa central;Ilias Kostis;Grecia;Chipre;16;27/02/2003;atletico_madrid_b
Defensa central;Dani Martinez;España;;5;05/05/2004;atletico_madrid_b
Defensa central;Gerónimo Spina;Argentina;Italia;12;09/02/2005;atletico_madrid_b
Defensa central;Matías Barboza;España;;20;13/02/2002;atletico_madrid_b
Lateral izquierdo;Julio Díaz;España;;3;10/01/2005;atletico_madrid_b
Lateral izquierdo;Marko Perovic;Montenegro;;22;05/03/2006;atletico_madrid_b
Lateral izquierdo;Adrián Corral;España;;19;05/01/2003;atletico_madrid_b
Lateral derecho;Javier Boñar;España;;4;03/06/2005;atletico_madrid_b
Lateral derecho;Romeo Hueso;España;;28;03/04/2007;atletico_madrid_b
Mediocentro;Javi Serrano;España;;6;16/01/2003;atletico_madrid_b
Mediocentro;Martín Bellotti;Argentina;Suiza;18;21/01/2002;atletico_madrid_b
Mediocentro;Javi Morcillo;España;;14;15/03/2006;atletico_madrid_b
Mediocentro;Jorge Castillo;España;;8;23/05/2006;atletico_madrid_b
Mediocentro;Marcos Parriego;España;;2;04/01/2006;atletico_madrid_b
Mediocentro ofensivo;Rayane Belaid;España;Argelia;10;11/02/2005;atletico_madrid_b
Mediocentro ofensivo;Jano Monserrate;España;;17;28/01/2006;atletico_madrid_b
Extremo izquierdo;Ronaldo Nájera;México;;24;24/02/2003;atletico_madrid_b
Extremo izquierdo;Arnau Ortiz;España;;23;29/10/2001;atletico_madrid_b
Extremo derecho;Iker Luque;España;;7;05/06/2005;atletico_madrid_b
Extremo derecho;Rafa Llorente;España;;9;06/12/2002;atletico_madrid_b
Extremo derecho;Koke Mota;España;;11;05/03/2005;atletico_madrid_b
Delantero centro;Miguel Cubo;España;;30;08/02/2008;atletico_madrid_b
Delantero centro;Dario Sits;Letonia;;21;04/02/2004;atletico_madrid_b
Portero;Yakiv Kinareykin;Ucrania;;25;22/10/2003;fc_villarreal_b
Portero;Rubén Gómez;España;;1;24/01/2002;fc_villarreal_b
Portero;Yago Moreira;España;;35;29/04/2006;fc_villarreal_b
Defensa central;Jean Ives Valou;Costa de Marfil;Benín;23;22/12/2005;fc_villarreal_b
Defensa central;Lautaro Spatz;Argentina;Italia;6;19/10/2001;fc_villarreal_b
Defensa central;Ismael Sierra;España;;4;17/03/2003;fc_villarreal_b
Lateral izquierdo;Eneko Ortiz;España;;3;26/05/2003;fc_villarreal_b
Lateral izquierdo;Iván Rodríguez;Andorra;España;21;07/06/2006;fc_villarreal_b
Lateral derecho;Daniel Budesca;España;;2;27/05/2006;fc_villarreal_b
Lateral derecho;César Bonafé;España;Guinea Ecuatorial;33;27/07/2006;fc_villarreal_b
Mediocentro;Carlos Macià;España;;28;01/09/2008;fc_villarreal_b
Mediocentro;Alassane Diatta;Senegal;;8;14/05/2005;fc_villarreal_b
Mediocentro;Cheikh Tidiane Thiam;Senegal;;15;07/11/2005;fc_villarreal_b
Mediocentro;Pablo Pascual;España;;16;12/02/2006;fc_villarreal_b
Mediocentro ofensivo;Facundo Viveros;Argentina;;22;14/08/2003;fc_villarreal_b
Extremo izquierdo;Hugo López;España;;11;04/03/2007;fc_villarreal_b
Extremo izquierdo;Joselillo Gaitán;España;;26;25/02/2007;fc_villarreal_b
Extremo izquierdo;Mahamoud Barry;Malí;;19;11/06/2006;fc_villarreal_b
Extremo izquierdo;Arnau Forés;España;;14;01/03/2003;fc_villarreal_b
Extremo izquierdo;Nizar El Jmili;España;;36;30/11/2004;fc_villarreal_b
Extremo derecho;Sebas Salazar;España;Colombia;7;12/06/2008;fc_villarreal_b
Delantero centro;Etienne Eto'o;Camerún;España;10;18/08/2002;fc_villarreal_b
Delantero centro;Ayman Arguigue;Marruecos;España;24;11/05/2005;fc_villarreal_b
Delantero centro;Albert García;España;;30;01/01/2004;fc_villarreal_b
Portero;Carlos Abad;España;;1;28/06/1995;hercules_alicante
Portero;Alessandro Blazic;Eslovenia;Alemania;13;09/01/2006;hercules_alicante
Defensa central;Bolo;España;;3;05/10/2001;hercules_alicante
Defensa central;Javier Rentero;España;;4;16/03/2001;hercules_alicante
Defensa central;Alejandro Sotillos;España;;20;28/01/1998;hercules_alicante
Defensa central;Nacho Monsalve;España;;5;27/04/1994;hercules_alicante
Lateral izquierdo;Javi Jiménez;España;;24;11/01/1996;hercules_alicante
Lateral izquierdo;Alberto Retuerta;España;;21;01/01/2002;hercules_alicante
Lateral derecho;Samu Vázquez;España;;2;02/04/2001;hercules_alicante
