pos;name;pais1;pais2;num;edad;team_name
Portero;Thibaut Courtois;Bélgica;;1;11/05/1992;real_madrid
Portero;Andriy Lunin;Ucrania;;13;11/02/1999;real_madrid
Portero;Fran González;España;;26;24/06/2005;real_madrid
Defensa central;Dean Huijsen;España;Países Bajos;24;14/04/2005;real_madrid
Defensa central;Éder Militão;Brasil;España;3;18/01/1998;real_madrid
Defensa central;Raúl Asencio;España;;17;13/02/2003;real_madrid
Defensa central;Antonio Rüdiger;Alemania;Sierra Leona;22;03/03/1993;real_madrid
Defensa central;David Alaba;Austria;;4;24/06/1992;real_madrid
Lateral izquierdo;Álvaro Carreras;España;;18;23/03/2003;real_madrid
Lateral izquierdo;Fran García;España;;20;14/08/1999;real_madrid
Lateral izquierdo;Ferland Mendy;Francia;Senegal;23;08/06/1995;real_madrid
Lateral derecho;Trent Alexander-Arnold;Inglaterra;;12;07/10/1998;real_madrid
Lateral derecho;Daniel Carvajal;España;;2;11/01/1992;real_madrid
Pivote;Aurélien Tchouaméni;Francia;Camerún;14;27/01/2000;real_madrid
Mediocentro;Federico Valverde;Uruguay;España;8;22/07/1998;real_madrid
Mediocentro;Eduardo Camavinga;Francia;Congo;6;10/11/2002;real_madrid
Mediocentro;Thiago Pitarch;España;Marruecos;45;03/08/2007;real_madrid
Mediocentro;Dani Ceballos;España;;19;07/08/1996;real_madrid
Mediocentro;Jorge Cestero;España;;28;24/03/2006;real_madrid
Mediocentro;Manuel Ángel;España;;37;15/03/2004;real_madrid
Mediocentro ofensivo;Jude Bellingham;Inglaterra;Irlanda;5;29/06/2003;real_madrid
Mediocentro ofensivo;Arda Güler;Turquía;;15;25/02/2005;real_madrid
Extremo izquierdo;Vinicius Junior;Brasil;España;7;12/07/2000;real_madrid
Extremo derecho;Rodrygo;Brasil;España;11;09/01/2001;real_madrid
Extremo derecho;Franco Mastantuono;Argentina;Italia;30;14/08/2007;real_madrid
Extremo derecho;Brahim Díaz;Marruecos;España;21;03/08/1999;real_madrid
Delantero centro;Kylian Mbappé;Francia;Camerún;10;20/12/1998;real_madrid
Delantero centro;Gonzalo García;España;;16;24/03/2004;real_madrid
Portero;Joan García;España;;13;04/05/2001;fc_barcelona
Portero;Wojciech Szczęsny;Polonia;;25;18/04/1990;fc_barcelona
Portero;Diego Kochen;Estados Unidos;Perú;31;19/03/2006;fc_barcelona
Defensa central;Pau Cubarsí;España;;5;22/01/2007;fc_barcelona
Defensa central;Eric García;España;;24;09/01/2001;fc_barcelona
Defensa central;Ronald Araujo;Uruguay;España;4;07/03/1999;fc_barcelona
Defensa central;Andreas Christensen;Dinamarca;;15;10/04/1996;fc_barcelona
Lateral izquierdo;Alejandro Balde;España;;3;18/10/2003;fc_barcelona
Lateral izquierdo;Gerard Martín;España;;18;26/02/2002;fc_barcelona
Lateral derecho;Jules Koundé;Francia;Benín;23;12/11/1998;fc_barcelona
Lateral derecho;João Cancelo;Portugal;;2;27/05/1994;fc_barcelona
Pivote;Marc Bernal;España;;22;26/05/2007;fc_barcelona
Pivote;Marc Casadó;España;;17;14/09/2003;fc_barcelona
Mediocentro;Pedri;España;;8;25/11/2002;fc_barcelona
Mediocentro;Frenkie de Jong;Países Bajos;;21;12/05/1997;fc_barcelona
Mediocentro;Gavi;España;;6;05/08/2004;fc_barcelona
Mediocentro ofensivo;Fermín López;España;;16;11/05/2003;fc_barcelona
Mediocentro ofensivo;Dani Olmo;España;;20;07/05/1998;fc_barcelona
Extremo izquierdo;Raphinha;Brasil;Italia;11;14/12/1996;fc_barcelona
Extremo izquierdo;Marcus Rashford;Inglaterra;San Cristóbal y Nieves;14;31/10/1997;fc_barcelona
Extremo derecho;Lamine Yamal;España;;10;13/07/2007;fc_barcelona
Extremo derecho;Roony Bardghji;Suecia;Siria;19;15/11/2005;fc_barcelona
Delantero centro;Ferran Torres;España;;7;29/02/2000;fc_barcelona
Delantero centro;Robert Lewandowski;Polonia;;9;21/08/1988;fc_barcelona
Portero;Jan Oblak;Eslovenia;;13;07/01/1993;atletico_madrid
Portero;Juan Musso;Argentina;Italia;1;06/05/1994;atletico_madrid
Defensa central;Dávid Hancko;Eslovaquia;;17;13/12/1997;atletico_madrid
Defensa central;Marc Pubill;España;;18;20/06/2003;atletico_madrid
Defensa central;Robin Le Normand;España;Francia;24;11/11/1996;atletico_madrid
Defensa central;José María Giménez;Uruguay;España;2;20/01/1995;atletico_madrid
Defensa central;Clément Lenglet;Francia;;15;17/06/1995;atletico_madrid
Lateral izquierdo;Matteo Ruggeri;Italia;;3;11/07/2002;atletico_madrid
Lateral derecho;Marcos Llorente;España;;14;30/01/1995;atletico_madrid
Lateral derecho;Nahuel Molina;Argentina;;16;06/04/1998;atletico_madrid
Mediocentro;Pablo Barrios;España;;8;15/06/2003;atletico_madrid
Mediocentro;Johnny Cardoso;Estados Unidos;Italia;5;20/09/2001;atletico_madrid
Mediocentro;Rodrigo Mendoza;España;;4;15/03/2005;atletico_madrid
Mediocentro;Obed Vargas;México;Estados Unidos;21;05/08/2005;atletico_madrid
Mediocentro;Koke;España;;6;08/01/1992;atletico_madrid
Extremo izquierdo;Álex Baena;España;;10;20/07/2001;atletico_madrid
Extremo izquierdo;Nico González;Argentina;Italia;23;06/04/1998;atletico_madrid
Extremo izquierdo;Thiago Almada;Argentina;Italia;11;26/04/2001;atletico_madrid
Extremo derecho;Giuliano Simeone;Argentina;Italia;20;18/12/2002;atletico_madrid
Mediapunta;Ademola Lookman;Nigeria;Inglaterra;22;20/10/1997;atletico_madrid
Mediapunta;Antoine Griezmann;Francia;;7;21/03/1991;atletico_madrid
Delantero centro;Julián Alvarez;Argentina;Italia;19;31/01/2000;atletico_madrid
Delantero centro;Alexander Sørloth;Noruega;;9;05/12/1995;atletico_madrid
Portero;Luiz Júnior;Brasil;Portugal;1;14/01/2001;fc_villarreal
Portero;Diego Conde;España;;13;28/10/1998;fc_villarreal
Portero;Arnau Tenas;España;;25;30/05/2001;fc_villarreal
Defensa central;Renato Veiga;Portugal;Cabo Verde;12;29/07/2003;fc_villarreal
Defensa central;Logan Costa;Cabo Verde;Francia;2;01/04/2001;fc_villarreal
Defensa central;Rafa Marín;España;;4;19/05/2002;fc_villarreal
Defensa central;Juan Foyth;Argentina;España;8;12/01/1998;fc_villarreal
Defensa central;Willy Kambwala;Francia;RD del Congo;5;25/08/2004;fc_villarreal
Lateral izquierdo;Sergi Cardona;España;;23;08/07/1999;fc_villarreal
Lateral izquierdo;Alfonso Pedraza;España;;24;09/04/1996;fc_villarreal
Lateral derecho;Pau Navarro;España;;6;25/04/2005;fc_villarreal
Lateral derecho;Santiago Mouriño;Uruguay;España;15;13/02/2002;fc_villarreal
Lateral derecho;Alex Freeman;Estados Unidos;;3;09/08/2004;fc_villarreal
Pivote;Thomas Partey;Ghana;;16;13/06/1993;fc_villarreal
Mediocentro;Pape Gueye;Senegal;Francia;18;24/01/1999;fc_villarreal
Mediocentro;Santi Comesaña;España;;14;05/10/1996;fc_villarreal
Mediocentro;Carlos Macià;España;;37;01/09/2008;fc_villarreal
Mediocentro;Dani Parejo;España;;10;16/04/1989;fc_villarreal
