pos;name;pais;num;edad
Portero;Thibaut Courtois;Bélgica;1;11/05/1992
Portero;Andriy Lunin;Ucrania;13;11/02/1999
Portero;Fran González;España;26;24/06/2005
Defensa central;Dean Huijsen;España;24;14/04/2005
Defensa central;Éder Militão ;Brasil;3;18/01/1998
Defensa central;Raúl Asencio;España;17;13/02/2003
Defensa central;Antonio Rüdiger;Alemania;22;03/03/1993
Defensa central;David Alaba ;Austria;4;24/06/1992
Lateral izquierdo;Álvaro Carreras;España;18;23/03/2003
Lateral izquierdo;Fran García;España;20;14/08/1999
Lateral izquierdo;Ferland Mendy;Francia;23;08/06/1995
Lateral derecho;Trent Alexander-Arnold;Inglaterra;12;07/10/1998
Lateral derecho;Daniel Carvajal ;España;2;11/01/1992
Pivote;Aurélien Tchouaméni;Francia;14;27/01/2000
Mediocentro;Federico Valverde;Uruguay;8;22/07/1998
Mediocentro;Eduardo Camavinga ;Francia;6;10/11/2002
Mediocentro;Dani Ceballos ;España;19;07/08/1996
Mediocentro;Jorge Cestero;España;28;24/03/2006
Mediocentro ofensivo;Jude Bellingham ;Inglaterra;5;29/06/2003
Mediocentro ofensivo;Arda Güler;Turquía;15;25/02/2005
Extremo izquierdo;Vinicius Junior;Brasil;7;12/07/2000
Extremo derecho;Rodrygo ;Brasil;11;09/01/2001
Extremo derecho;Franco Mastantuono;Argentina;30;14/08/2007
Extremo derecho;Brahim Díaz;Marruecos;21;03/08/1999
Delantero centro;Kylian Mbappé ;Francia;10;20/12/1998
Delantero centro;Gonzalo García;España;16;24/03/2004
Portero;Joan García;España;13;04/05/2001
Portero;Wojciech Szczęsny;Polonia;25;18/04/1990
Portero;Diego Kochen;Estados Unidos;31;19/03/2006
Defensa central;Pau Cubarsí;España;5;22/01/2007
Defensa central;Eric García;España;24;09/01/2001
Defensa central;Ronald Araujo;Uruguay;4;07/03/1999
Defensa central;Andreas Christensen ;Dinamarca;15;10/04/1996
Lateral izquierdo;Alejandro Balde ;España;3;18/10/2003
Lateral izquierdo;Gerard Martín;España;18;26/02/2002
Lateral derecho;Jules Koundé ;Francia;23;12/11/1998
Lateral derecho;João Cancelo;Portugal;2;27/05/1994
Pivote;Marc Casadó;España;17;14/09/2003
Pivote;Marc Bernal;España;22;26/05/2007
Mediocentro;Pedri;España;8;25/11/2002
Mediocentro;Frenkie de Jong ;Países Bajos;21;12/05/1997
Mediocentro;Gavi ;España;6;05/08/2004
Mediocentro ofensivo;Fermín López;España;16;11/05/2003
Mediocentro ofensivo;Dani Olmo;España;20;07/05/1998
Extremo izquierdo;Raphinha;Brasil;11;14/12/1996
Extremo izquierdo;Marcus Rashford;Inglaterra;14;31/10/1997
Extremo derecho;Lamine Yamal;España;10;13/07/2007
Extremo derecho;Roony Bardghji;Suecia;19;15/11/2005
Delantero centro;Ferran Torres;España;7;29/02/2000
Delantero centro;Robert Lewandowski;Polonia;9;21/08/1988
Portero;Jan Oblak;Eslovenia;13;07/01/1993
Portero;Juan Musso;Argentina;1;06/05/1994
Defensa central;Dávid Hancko;Eslovaquia;17;13/12/1997
Defensa central;Robin Le Normand;España;24;11/11/1996
Defensa central;Marc Pubill;España;18;20/06/2003
Defensa central;José María Giménez;Uruguay;2;20/01/1995
Defensa central;Clément Lenglet;Francia;15;17/06/1995
Lateral izquierdo;Matteo Ruggeri;Italia;3;11/07/2002
Lateral derecho;Marcos Llorente;España;14;30/01/1995
Lateral derecho;Nahuel Molina;Argentina;16;06/04/1998
Pivote;Johnny Cardoso;Estados Unidos;5;20/09/2001
Mediocentro;Pablo Barrios;España;8;15/06/2003
Mediocentro;Rodrigo Mendoza;España;4;15/03/2005
Mediocentro;Obed Vargas;México;21;05/08/2005
Mediocentro;Koke ;España;6;08/01/1992
Extremo izquierdo;Álex Baena;España;10;20/07/2001
Extremo izquierdo;Nico González;Argentina;23;06/04/1998
Extremo izquierdo;Thiago Almada;Argentina;11;26/04/2001
Extremo derecho;Giuliano Simeone;Argentina;20;18/12/2002
Mediapunta;Ademola Lookman;Nigeria;22;20/10/1997
Mediapunta;Antoine Griezmann;Francia;7;21/03/1991
Delantero centro;Julián Alvarez;Argentina;19;31/01/2000
Delantero centro;Alexander Sørloth;Noruega;9;05/12/1995
Portero;Unai Simón;España;1;11/06/1997
Portero;Álex Padilla;México;27;01/09/2003
Defensa central;Dani Vivian;España;3;05/07/1999
Defensa central;Aitor Paredes;España;4;29/04/2000
Defensa central;Aymeric Laporte;España;14;27/05/1994
Defensa central;Yeray Álvarez;España;5;24/01/1995
Defensa central;Unai Egiluz;España;13;19/03/2002
Lateral izquierdo;Adama Boiro;España;19;22/06/2002
Lateral izquierdo;Yuri Berchiche;España;17;10/02/1990
Lateral derecho;Jesús Areso;España;12;02/07/1999
Lateral derecho;Andoni Gorosabel;España;2;04/08/1996
Lateral derecho;Iñigo Lekue;España;15;04/05/1993
Pivote;Mikel Vesga;España;6;08/04/1993
Mediocentro;Mikel Jauregizar;España;18;13/11/2003
