pos;name;pais;num;edad
Portero;Guillermo Vallejo;España;13;22/04/1995
Portero;Pedro López;España;1;21/01/1995
Defensa central;Diego González;España;15;07/05/1999
Defensa central;Yago Cantero;España;24;26/01/2000
Defensa central;Albert Caparrós ;España;4;14/10/1998
Defensa central;Carlos Hernández;España;6;15/09/1990
Lateral izquierdo;José Matos;España;3;06/05/1995
Lateral izquierdo;Carlos Redru;España;16;23/06/1997
Lateral derecho;Gonzalo Almenara;España;17;15/05/1997
Lateral derecho;Manu Sánchez;España;2;24/03/1996
Mediocentro;José Campaña;España;20;31/05/1993
Mediocentro;Youness Lachhab;Marruecos;5;23/04/1999
Mediocentro;Yann Bodiger;Francia;14;09/02/1995
Mediocentro;Cristian Rodríguez;España;10;15/03/1996
Mediocentro;Aboubacar Bassinga;Costa de Marfil;26;13/07/2005
Mediocentro ofensivo;Aisar Ahmed;España;7;02/07/2001
Mediocentro ofensivo;Kuki Zalazar;España;8;05/05/1998
Mediocentro ofensivo;Marino Illescas;España;12;09/01/2001
Mediocentro ofensivo;Rubén Díez;España;19;18/08/1993
Extremo izquierdo;Konrad de la Fuente;Estados Unidos;18;16/07/2001
Extremo izquierdo;Kialy Abdoul Kone;Costa de Marfil;22;08/04/1997
Extremo derecho;Ignacio Schor;Argentina;11;04/08/2000
Extremo derecho;Anuar;Marruecos;23;15/01/1995
Extremo derecho;Salvi Sánchez;España;25;30/03/1991
Delantero centro;Marc Domènech;España;27;01/12/2006
Delantero centro;Marcos Fernández;España;9;17/05/2003
