pos;name;pais;num;edad
Portero;Raúl Lizoain;España;13;27/01/1991
Portero;Diego Mariño ;España;1;09/05/1990
Defensa central;Jesús Vallejo;España;24;05/01/1997
Defensa central;Lluís López;España;22;05/03/1997
Defensa central;Pepe Sánchez;España;23;02/03/2000
Defensa central;Javi Moreno;España;5;16/05/2000
Lateral izquierdo;Carlos Neva;España;21;12/06/1996
Lateral izquierdo;Jonathan Gómez;Estados Unidos;3;01/09/2003
Lateral izquierdo;Dani Bernabéu;España;27;15/01/2007
Lateral derecho;Lorenzo Aguado;España;2;19/09/2002
Lateral derecho;Fran Gámez;España;15;27/07/1991
Pivote;Martín Fernández;Uruguay;8;08/05/2001
Pivote;Edward Cedeño ;Panamá;12;05/07/2003
Mediocentro;Agus Medina;España;4;08/09/1994
Mediocentro;Antonio Pacheco;España;6;03/01/2002
Mediocentro;Javi Villar;España;18;15/03/2003
Mediocentro;Ale Meléndez;España;17;13/05/1999
Mediocentro;Víctor San Bartolomé;España;14;26/10/1999
Mediocentro;Capi;España;26;23/08/2006
Extremo izquierdo;José Carlos Lazo;España;16;16/02/1996
Extremo derecho;Antonio Puertas;España;7;21/02/1992
Extremo derecho;Victor Valverde;España;11;26/12/2001
Delantero centro;Jefté Betancor;España;10;06/07/1993
Delantero centro;Samuel Obeng;Ghana;20;15/05/1997
Delantero centro;Higinio Marín ;España;9;19/10/1993
Delantero centro;Álex Rubio;España;19;25/07/2002
