pos;name;pais;num;edad
Portero;Ander Cantero;España;13;09/01/1995
Portero;Jesús Ruiz;España;1;20/01/1997
Defensa central;Oier Luengo;España;3;11/11/1997
Defensa central;Grego Sierra;España;8;05/03/1993
Lateral izquierdo;Florian Miguel;Francia;12;01/09/1996
Lateral izquierdo;Brais Martínez;España;22;13/12/2001
Lateral derecho;Álex Lizancos;España;2;14/09/2003
Lateral derecho;Aitor Buñuel;España;15;10/02/1998
Mediocentro;Pablo Galdames;Chile;4;30/12/1996
Mediocentro;Miguel Atienza;España;5;27/05/1999
Mediocentro;David González;España;14;22/06/2002
Mediocentro;Kévin Appin;Martinica;10;20/01/1998
Mediocentro;Iván Morante;España;23;15/01/2001
Mediocentro;Sergio González;España;6;14/05/1997
Mediocentro;Saúl del Cerro;España;28;20/05/2004
Mediocentro;Mario Cantero;España;17;13/03/2002
Mediocentro;Marcelo Expósito;España;33;15/02/2003
Mediocentro ofensivo;Hugo Cuenca;Paraguay;30;08/01/2005
Extremo izquierdo;Iñigo Córdoba;España;21;13/03/1997
Extremo derecho;Curro Sánchez;España;16;03/01/1996
Extremo derecho;Víctor Mollejo;España;11;21/01/2001
Extremo derecho;Fermín García;España;31;30/09/2003
Delantero centro;Fer Niño;España;9;24/10/2000
Delantero centro;Mario González;España;20;25/02/1996
Delantero centro;Mateo Mejía;Colombia;7;31/03/2003
