pos;name;pais;num;edad
Portero;Romain Matthys;Bélgica;13;10/07/1998
Portero;Amir Abedzadeh;Irán;1;26/04/1993
Defensa central;Fabrizio Brignani;Italia;3;13/01/1998
Defensa central;Agustín Sienra;Argentina;4;14/07/1999
Defensa central;Alberto Jiménez;España;5;15/11/1992
Lateral izquierdo;Lucas Alcázar;España;12;11/07/2002
Lateral izquierdo;Tincho Conde;España;2;25/03/2003
Lateral izquierdo;Salva Ruiz ;España;17;17/05/1995
Lateral derecho;Jérémy Mellot;Francia;22;28/03/1994
Pivote;Ronaldo;Brasil;25;08/04/1990
Mediocentro;Diego Barri;España;8;19/09/1995
Mediocentro;Beñat Gerenabarrena;España;15;29/03/2003
Mediocentro;Marc-Olivier Doué;Francia;6;11/10/2000
Mediocentro ofensivo;Álex Calatrava;España;21;22/06/2000
Mediocentro ofensivo;Israel Suero;España;10;12/04/1994
Extremo izquierdo;Brian Cipenga;RD del Congo;16;11/03/1998
Extremo izquierdo;Raúl Sánchez;España;14;08/11/1997
Extremo izquierdo;Pablo Santiago;España;18;27/09/2000
Extremo izquierdo;Awer Mabil;Australia;7;15/09/1995
Extremo derecho;Douglas Aurélio;Brasil;11;27/03/1999
Mediapunta;Tommaso De Nipoti;Italia;29;23/07/2003
Delantero centro;Adam Jakobsen;Dinamarca;19;07/04/1999
Delantero centro;Ousmane Camara;Guinea;9;03/11/2001
Delantero centro;Álvaro García;España;23;28/10/1999
