pos;name;pais;num;edad
Portero;Juan Soriano;España;1;23/08/1997
Portero;Miguel San Román;España;13;14/07/1997
Defensa central;Jorge Sáenz ;España;3;17/11/1996
Defensa central;Lalo Aguilar;España;6;11/06/2002
Defensa central;Marvel;España;2;07/01/2003
Defensa central;Ignasi Miquel;España;5;28/09/1992
Defensa central;Rubén Pulido;España;4;02/09/2000
Lateral izquierdo;Enric Franquesa;España;15;26/02/1997
Lateral derecho;Rubén Peña;España;7;18/07/1991
Lateral derecho;Sebastián Figueredo;Uruguay;22;25/08/2001
Pivote;Amadou Diawara;Guinea;24;17/07/1997
Pivote;Carlos Guirao;España;26;27/04/2003
Mediocentro;Seydouba Cissé;Guinea;8;10/02/2001
Mediocentro;Gonzalo Melero;España;16;02/01/1994
Mediocentro ofensivo;Roberto López;España;14;24/04/2000
Mediocentro ofensivo;Óscar Plano;España;20;11/02/1991
Mediocentro ofensivo;Dani Rodríguez;España;9;06/06/1988
Extremo izquierdo;Juan Cruz;España;10;25/04/2000
Extremo izquierdo;Duk;Cabo Verde;11;16/02/2000
Extremo izquierdo;Andrés Campos;España;21;14/05/2002
Extremo derecho;Naim García;España;17;11/06/2002
Delantero centro;Luis Asué;Guinea Ecuatorial;12;09/07/2001
Delantero centro;Diego García;España;19;18/04/2000
Delantero centro;Álex Millán;España;23;07/11/1999
