pos;name;pais;num;edad
Portero;Igor Nikic;Montenegro;1;25/08/2000
Portero;Juanpa Palomares;España;13;25/07/2000
Defensa central;Adrián Pica;España;5;25/04/2002
Defensa central;Jorge Cabello;España;15;25/04/2004
Defensa central;Nikola Maras;Serbia;19;19/12/1995
Defensa central;Juan Gutiérrez;España;22;28/01/2000
Defensa central;Iker Córdoba;España;24;11/11/2005
Defensa central;Martín Pascual;España;4;04/08/1999
Defensa central;Sergio Postigo ;España;21;04/11/1988
Lateral izquierdo;Fernando Medrano;España;3;26/03/2000
Lateral izquierdo;Pablo Pérez;España;17;18/08/2001
Lateral derecho;Hugo Novoa;España;2;24/01/2003
Lateral derecho;Toni Tamarit;España;27;22/11/2005
Pivote;Thiago Helguera;Uruguay;6;26/03/2006
Pivote;Mickaël Malsa;Martinica;11;12/10/1995
Pivote;Selvi Clua;España;16;29/01/2005
Mediocentro;Aarón Martin;España;8;24/11/2006
Mediocentro;Rafel Bauzà;España;18;30/01/2005
Mediocentro ofensivo;Javi Hernández;España;28;30/01/2004
Extremo izquierdo;Diego Sia;Italia;20;10/03/2006
Extremo izquierdo;Salim El Jebari;Marruecos;30;05/02/2004
Extremo izquierdo;Pablo López ;España;-;27/03/2006
Extremo izquierdo;Iker Varela;España;7;01/03/2003
Mediapunta;Ali Houary;Marruecos;29;05/08/2005
Delantero centro;Siren Diao;España;9;21/01/2005
Delantero centro;Carlos Fernández;España;10;22/05/1996
Delantero centro;Alberto Marí;España;14;11/07/2001
