pos;name;pais;num;edad
Portero;Edgar Badia;España;13;12/02/1992
Portero;Miguel Bañuz;España;1;26/06/1993
Portero;Arnau Rafús;España;26;27/04/2003
Defensa central;Tomás Ribeiro;Portugal;16;30/04/1999
Defensa central;Matia Barzic;Croacia;36;31/05/2004
Defensa central;Roger Hinojo;España;21;21/02/2005
Defensa central;Peru Rodríguez;España;2;03/04/2002
Defensa central;Rodri Suárez;España;4;14/11/2002
Defensa central;Quique Fornos ;España;5;01/01/1997
Defensa central;Eneko Satrústegui;España;3;25/09/1990
Lateral izquierdo;Homam Al-Amin;Catar;12;25/08/1999
Lateral derecho;Iván Calero;España;17;21/04/1995
Lateral derecho;Víctor García;Venezuela;24;11/06/1994
Pivote;Nemanja Radoja;Serbia;22;06/02/1993
Mediocentro;Thiago Ojeda;Argentina;28;12/01/2003
Mediocentro;Yayo González;España;8;30/07/2004
Mediocentro;Selu Diallo;Guinea;23;01/10/2003
Mediocentro;Sergi Maestre;España;6;18/11/1990
Mediocentro;Nico Toca;España;31;18/03/2003
Mediocentro ofensivo;Bicho;España;14;20/02/1996
Extremo izquierdo;Luis Chacón;España;10;30/05/2000
Extremo izquierdo;Diego Collado;España;7;09/01/2001
Extremo izquierdo;Rafa Tresaco;España;20;24/08/2000
Extremo derecho;Lucas Ribeiro;Brasil;15;09/10/1998
Extremo derecho;Víctor Moreno;España;11;30/09/2005
Delantero centro;Manu Justo;España;9;09/02/1996
Delantero centro;Rubén Sobrino;España;19;01/06/1992
