pos;name;pais;num;edad
Portero;Álvaro Fernández;España;25;13/04/1998
Portero;Germán Parreño;España;1;16/02/1993
Portero;Eric Puerto;España;13;28/10/2002
Defensa central;Lucas Noubi;Bélgica;4;15/01/2005
Defensa central;Dani Barcia;España;5;19/01/2003
Defensa central;Arnau Comas;España;3;11/04/2000
Lateral izquierdo;Giacomo Quagliata;Italia;12;19/02/2000
Lateral izquierdo;Sergio Escudero;España;18;02/09/1989
Lateral derecho;Adrià Altimira;España;2;28/03/2001
Lateral derecho;Miguel Loureiro;España;15;21/11/1996
Lateral derecho;Ximo Navarro;España;23;23/01/1990
Mediocentro;José Gragera;España;16;14/05/2000
Mediocentro;Riki Rodríguez;España;14;25/09/1997
Mediocentro;Diego Villares ;España;8;17/06/1996
Mediocentro;Charlie Patiño;Inglaterra;6;17/10/2003
Mediocentro;José Ángel Jurado;España;20;21/06/1992
Mediocentro ofensivo;Mario Soriano;España;21;22/04/2002
Extremo izquierdo;Yeremay Hernández;España;10;10/12/2002
Extremo derecho;David Mella;España;11;23/05/2005
Extremo derecho;Luismi Cruz;España;19;23/05/2001
Mediapunta;Stoichkov;España;22;05/11/1993
Delantero centro;Samuele Mulattieri;Italia;7;07/10/2000
Delantero centro;Zakaria Eddahchouri;Países Bajos;9;11/05/2000
Delantero centro;Bil Nsongo;Camerún;32;21/09/2004
Delantero centro;Cristian Herrera;España;17;13/03/1991
