pos;name;pais;num;edad
Portero;Áron Yaakobishvili;Hungría;25;06/03/2006
Portero;Jesús Owono;Guinea Ecuatorial;13;01/03/2001
Portero;Nico Ratti ;Argentina;1;18/09/1993
Defensa central;Edgar González ;España;12;01/04/1997
Defensa central;Gael Alonso;España;4;22/07/2002
Defensa central;Marc Bombardó;España;5;23/11/2005
Defensa central;Diego Alende;España;23;25/08/1997
Lateral izquierdo;Imanol García de Albéniz;España;19;08/06/2000
Lateral izquierdo;Martí Vilà;España;20;26/05/1999
Lateral derecho;Thomas Carrique;Francia;17;26/02/1999
Lateral derecho;Álex Petxarroman;España;2;06/02/1997
Pivote;Efe Akman;Turquía;8;20/03/2006
Mediocentro;Dani Villahermosa;España;6;02/01/2001
Mediocentro;Marc Doménech;España;18;01/11/2002
Mediocentro;Sergio Molina;España;14;18/02/1996
Mediocentro;Théo Le Normand;Francia;24;08/08/2000
Mediocentro ofensivo;Alberto Solís;España;-;01/01/1998
Extremo izquierdo;Min-su Kim;Corea del Sur;29;19/01/2006
Extremo izquierdo;Álvaro Martín;España;10;15/01/2001
Extremo izquierdo;Josep Cerdà;España;21;04/02/2003
Extremo izquierdo;Jastin Garcia;Portugal;16;15/01/2004
Extremo derecho;Aingeru Olabarrieta;España;15;14/11/2005
Extremo derecho;Yeray Cabanzón;España;3;14/05/2003
Extremo derecho;Álex Calvo;España;7;20/02/2004
Delantero centro;Lautaro de León;Uruguay;11;09/02/2001
Delantero centro;Manu Nieto;España;9;29/03/1998
Delantero centro;Marc Cardona;España;22;08/07/1995
