pos;name;pais;num;edad
Portero;Victor Aznar;Brasil;13;17/10/2002
Portero;David Gil;España;1;11/01/1994
Defensa central;Bojan Kovacevic;Serbia;14;22/05/2004
Defensa central;Iker Recio;España;6;17/06/2001
Defensa central;Jorge Moreno;España;2;25/07/2001
Defensa central;Pelayo Fernández;España;27;29/04/2003
Defensa central;Sergio Arribas;España;38;10/02/2003
Lateral izquierdo;Mario Climent;España;21;30/01/2002
Lateral izquierdo;Raúl Pereira;España;33;10/05/2005
Lateral derecho;Iza Carcelén;España;20;23/04/1993
Lateral derecho;Alfred Caicedo;Ecuador;29;10/09/2004
Mediocentro;Rominigue Kouamé;Malí;3;17/12/1996
Mediocentro;Moussa Diakité;Malí;5;04/11/2003
Mediocentro;Sergio Ortuño;España;15;02/03/1999
Mediocentro;Yussi Diarra;Malí;18;13/09/1998
Mediocentro;Álex Fernández ;España;8;15/10/1992
Mediocentro;Joaquín González;España;24;14/10/2000
Mediocentro ofensivo;Suso;España;11;19/11/1993
Extremo izquierdo;Antoñito Cordero;España;16;14/11/2006
Extremo izquierdo;Javi Ontiveros;España;22;09/09/1997
Extremo izquierdo;Brian Ocampo;Uruguay;10;25/06/1999
Extremo derecho;Iuri Tabatadze;Georgia;12;29/11/1999
Extremo derecho;José Antonio de la Rosa;España;19;28/07/2004
Delantero centro;Jerónimo Dómina;Argentina;37;17/10/2005
Delantero centro;Dawda Camara;Mauritania;17;04/11/2002
Delantero centro;Álvaro García Pascual;España;23;21/07/2002
Delantero centro;Roger Martí;España;9;03/01/1991
