pos;name;pais;num;edad
Portero;Iker Álvarez;Andorra;1;25/07/2001
Portero;Carlos Marín ;España;13;20/02/1997
Defensa central;Franck Fomeyem;Camerún;12;17/10/1999
Defensa central;Rubén Alves;España;16;07/09/1994
Defensa central;Álex Martín;España;4;25/01/1998
Defensa central;Xavi Sintes;España;15;05/08/2001
Lateral izquierdo;Ignasi Vilarrasa;España;2;23/08/1999
Lateral izquierdo;Juan María Alcedo;España;3;05/02/2001
Lateral izquierdo;Marcelo Timorán;Bolivia;33;08/07/2006
Lateral derecho;Carlos Albarrán;España;21;15/01/1994
Lateral derecho;Trilli;España;22;19/05/2003
Mediocentro;Isma Ruiz;España;8;14/02/2001
Mediocentro;Alberto del Moral;España;20;20/07/2000
Mediocentro;Théo Zidane;Francia;7;18/05/2002
Mediocentro;Pedro Ortiz;España;24;19/08/2000
Mediocentro;Dani Requena;España;30;12/02/2004
Mediocentro ofensivo;Mikel Goti;España;25;23/05/2002
Mediocentro ofensivo;Dalisson de Almeida;España;19;06/04/2000
Extremo izquierdo;Jacobo González;España;10;25/03/1997
Extremo izquierdo;Kevin Medina;España;11;26/02/2001
Extremo izquierdo;Adilson;Portugal;17;21/03/1997
Extremo derecho;Cristian Carracedo;España;23;30/11/1995
Extremo derecho;Diego Bri;España;5;12/09/2002
Delantero centro;Adrián Fuentes;España;18;17/07/1996
Delantero centro;Nikolay Obolskiy;Rusia;9;14/01/1997
Delantero centro;Sergi Guardiola;España;14;29/05/1991
Delantero centro;Diego Percan;España;6;13/11/2001
